Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0
,Cabo,,,,,,,,,,,,377.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product,,,,,,284.248,263.117,302.679,310.298,347.044,366.482,377.419,363.4,409.646,426.497,429.336,378.5,437.581,478.059,515.232,513.3,,,,,,,,,,,741.55,1077.256,1401.243,1628.8790000000001,1809.372,2171.2464,2279.80872,2393.799156,2513.4891138000003,2639.1635694900006,2771.1217479645006,,,,,,,,,,
,License,,,,,,39.64,49.694,133.094,32.067,57.526,34.384,38.079,38.292,7.455,3.056,5.087,,4.611,1.244,2.18,,,,,,,,,,,,167.295,249.956,162.056,53.89,8.035,10.445500000000001,13.579150000000002,17.652895000000004,22.948763500000005,29.833392550000006,38.78341031500001,,,,,,,,,,
,Services,,,,,,61.829,15.612,15.367,13.615,14.857,10.872,8.419,7.096,52.747,42.367,45.229,46.703,194.986,60.239,49.343,42.164,,,,,,,,,,,78.693,107.758,47.763,147.43900000000002,351.271,456.6523,593.64799,771.7423870000001,1003.2651031000001,1304.2446340300003,1695.5180242390004,,,,,,,,,,
,Revenue,,,,,,385.717,328.42300000000006,451.14,355.98,419.427,411.73800000000006,423.917,408.788,469.848,471.92,479.652,425.203,637.178,539.542,566.7549999999999,555.4639999999999,,,,,,,,,,,987.538,1434.97,1611.062,1830.208,2168.678,2638.3442,2887.03586,3183.1944380000004,3539.7029804000003,3973.241596070001,4505.423182518502,,,,,,,,,,
,COGS,,,,,,14.884,11.874,12.917,13.203,13.481,15.305,15.92,14.315,17.705,18.774,21.753,21.256,17.667,17.328,19.965,19.172,,,,,,,,,,,57.909,52.873,57.909,72.547,76.21600000000001,131.91721,144.35179300000001,159.15972190000002,176.98514902000002,198.66207980350006,225.2711591259251,,,,,,,,,,
,Gross Profit,,,,,,370.83299999999997,316.54900000000004,438.223,342.77700000000004,405.946,396.43300000000005,407.99699999999996,394.473,452.14300000000003,453.146,457.899,403.947,619.511,522.214,546.7899999999998,536.2919999999999,,,,,,,,,,,929.629,1382.097,1553.1529999999998,1757.661,2092.462,2506.42699,2742.684067,3024.0347161000004,3362.7178313800005,3774.579516266501,4280.152023392577,,,,,,,,,,
,R&D,,,,,,148.79,163.37,222.268,156.671,199.481,198.837,336.824,234.246,232.57,332.585,244.67,227.689,211.147,222.57,249.002,212.233,,,,,,,,,,,547.851,693.716,891.813,1044.0710000000001,910.4079999999999,,,,,,,,,,,,,,,,
,SG&A,,,,,,98.495,101.558,99.311,102.863,122.759,114.983,119.251,131.397,141.723,138.144,131.441,113.984,132.015,111.801,134.328,137.183,,,,,,,,,,,293.355,401.715,459.856,542.705,492.12799999999993,492.12799999999993,492.12799999999993,492.12799999999993,492.12799999999993,492.12799999999993,492.12799999999993,,,,,,,,,,
,Operating Expenses,,,,,,247.285,264.928,321.579,259.534,322.24,313.82,456.07500000000005,365.64300000000003,374.293,470.729,376.111,341.673,343.162,334.371,383.33000000000004,349.416,,,,,,,,,,,841.206,1095.431,1351.6689999999999,1586.7760000000003,1402.5359999999998,492.12799999999993,492.12799999999993,492.12799999999993,492.12799999999993,492.12799999999993,492.12799999999993,,,,,,,,,,
,Operating Income,,,,,,123.54799999999997,51.62100000000004,116.644,83.24300000000005,83.70600000000002,82.61300000000006,-48.07800000000009,28.829999999999984,77.85000000000002,-17.58299999999997,81.78800000000001,62.274,276.349,187.84300000000007,163.4599999999998,186.87599999999992,,,,,,,,,,,88.423,286.66599999999994,201.48399999999992,170.88499999999976,689.9260000000002,2014.29899,2250.5560670000004,2531.9067161000003,2870.5898313800008,3282.451516266501,3788.024023392577,,,,,,,,,,
,Interest Income,,,,,,1.891,1.658,1.377,1.822,4.757,9.498,16.651,19.502,22.541,23.112,21.388,19.894,17.258,18.709,21.295,19.076,,,,,,,,,,,,,,86.543,77.156,77.156,77.156,77.156,77.156,77.156,77.156,,,,,,,,,,
,Pretax,,,,,,125.43899999999998,53.27900000000004,118.021,85.06500000000005,88.46300000000002,92.11100000000006,-31.42700000000009,48.33199999999998,100.39100000000002,5.529000000000028,103.17600000000002,82.168,293.60699999999997,206.55200000000008,184.75499999999982,205.9519999999999,,,,,,,,,,,88.423,286.66599999999994,201.48399999999992,257.42799999999977,767.0820000000001,2091.45499,2327.7120670000004,2609.0627161,2947.7458313800007,3359.607516266501,3865.180023392577,,,,,,,,,,
,Taxes,,,,,,28.796,15.056,22.855,16.656,17.836,18.832,0,8.25,19.208,4.777,17.521,11.95,66.729,36.782,44.912,46.074,,,,,,,,,,,,,,49.756,160.373,418.29099800000006,465.5424134000001,521.8125432200001,589.5491662760002,671.9215032533002,773.0360046785154,,,,,,,,,,
,Net Income,,,,,,96.64299999999997,38.22300000000004,95.166,68.40900000000005,70.62700000000002,73.27900000000005,-31.42700000000009,40.08199999999998,81.18300000000002,0.7520000000000282,85.65500000000002,70.218,226.878,169.7700000000001,139.84299999999982,159.87799999999993,,,,,,,,,,,88.423,286.66599999999994,201.48399999999992,207.67199999999977,606.7090000000001,1673.1639920000002,1862.1696536000004,2087.2501728800003,2358.1966651040007,2687.686013013201,3092.1440187140615,,,,,,,,,,
,EPS,,,,,,0.29925899777358705,0.11869685922079871,0.2943982478283466,0.2116032404443085,0.21737805628739573,0.22542806691564193,-0.09722015987328957,0.12284578535547792,0.24803470768854743,0.0023555428868557203,0.2736380393772982,0.22982358524531146,0.7717621286236197,0.582445330350833,0.47639211571610524,0.5547909791551717,,,,,,,,,,,,0.8882267338277805,0.6216171814441019,0.6460204657760514,2.048778922912755,5.6500614320640805,6.288309448489189,7.048377658881851,7.963329410884337,9.075972920904194,10.441776027967466,,,,,,,,,,
,Shares,,,,,,322.941,322.022,323.256,323.289,324.904,325.066,323.256,326.279,327.305,319.247,313.023,305.53,293.974,291.478,293.546,288.177,,,,,,,,,,,,322.73966666666666,324.12874999999997,321.46350000000007,296.132,296.132,296.132,296.132,296.132,296.132,296.132,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product y/y,,,,,,,,,,0.22091976020939463,0.3928480485867505,0.24692826393638145,0.17113226640197476,0.18038634870506343,0.16375974809131133,0.13755799257589052,0.04155200880572374,0.06819302519736548,0.1208965127538999,0.20006708032869347,0.3561426684280051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
