Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Product,,,,,,5273,,,,1068,,
,License,,,,,,3597,,,,7782,,
,Royalty,,,,,,235,,,,627,,
,Revenue,,,,,,9105,,,,9477,,
,COGS,,,,,,1792,,,,1401,,
,Gross Profit,,,,,,7313,,,,8076,,
,R&D,,,,,,15730,,,,29822,,
,S&M,,,,,,5288,,,,50,,
,G&A,,,,,,9056,,,,12750,,
,Operating Expenses,,,,,,30074,,,,42622,,
,Operating Income,,,,,,-22761,,,,-34546,,
,Interest Income,,,,,,,,,,3720,,
,Pretax Income,,,,,,-22761,0,0,0,-30826,,
,Taxes,,,,,,,,,,0,,
,Net Income,,,,,,-22761,0,0,0,-30826,,
,EPS,,,,,,,,,,-0.5793707476600384,,
,Shares,,,,,,,,,,53206,,
