Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Freshdesk,Customer Service,,,,Price,11.27,
,Freshmarketer,Sales/Marketing automation,,,,Shares,302.090804,Q224
,Freshservice,IT service management,,,,MC,3404.5633610799996,
,Freshsales,,,,,Cash,1019.114,Q224
,,,,,,Debt,0.0,Q224
,Freddy,,,,,EV,2385.4493610799996,
,,,,,,,,
,,,,,,PIC,4800.143,
,,,,,,AD,3684.018,
,,,,,,,,
,,,,,,,,
,,,,,,CEO: Girish Mathrubootham,,
,,,,,,,,
,,,,,,,,
,,,,,,$150m Series H - 3.5B post-money,,
,,,,,,$100m Series G - 1.5B post-money,,
