Main,Unnamed: 1,Unnamed: 2
,NAFL,5% HS without hepatocellular injury (ballooning)
,,25% have NAFLD
,NASH,>5% with ballooning with or without fibrosis
,,1-6% (also quoted as 12%) of the population has NASH
,,  59% of NAFLD have NASH
,,"  can progress to liver cirrhosis, liver failure, liver cancer and death"
,,
,VCTE,(vibration controlled transient elastography) Fibroscan measures liver stiffness non-invasively.
,PDFF,proton density fat fraction
,steatosis,
,TE,transient elastography
,ferritin,
,transferrin,
,FIB-4 index,NASH algorithm
,NAS,NAFLD Activity Score - semi-quantitative assessment
,SAF,Steatosis Activity Fibrosis - semi-quantitative assessment
,obeticholic acid,
,elafibranor,
,decompensation,"development of ascites, variceal hemorrhage, hepatic encephalopathy"
,HVPG,"hepatic venous pressure gradient, measures portal hypertension"
,MELD,Model for End-Stage Liver Disease
,Child-Pugh,
