Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Brand Name,Letairis,,,,,,,,,,
,Generic Name,ambrisentan,,,,,,,,,,
,Indication,"PAH (pulmonary arterial hypertension). 75k-90k with the disease, 35-45% diagnosed.",,,,,,,,,,
,,  Scleroderma patients get PAH.,,,,,,,,,,
,Safety,BB warning for liver tox associated with the drug class. LEAP access program.,,,,,,,,,,
,PK,Ambrisentan has a lack of warfarin/coumadin interaction.,,,,,,,,,,
,Price,"$3,940 per month.",,,,,,,,,,
,Competition,"Tracleer (bosentan), Thelin (sitaxsentan), DARA. Bosentan does not have dosing flexibility?",,,,,,,,,,
,Model,,,,,,,,,,,
,,,,,,,,,,,,
,,,2006.0,2007,2008,2009,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
,,PAH Patients,50000.0,,,,,,,,,
,,Diagnosed,15000.0,15600,16224,16872.96,17547.8784,18249.793536,18979.78527744,19738.9766885376,20528.535756079105,21349.67718632227
,,Penetration,0.0,0.03,0.05,0.08,0.1,0.12,0.14,0.16,0.17,0.18
,,Patients,0.0,468,811.2,1349.8368,1754.7878400000002,2189.97522432,2657.1699388416005,3158.2362701660163,3489.8510785334483,3842.9418935380086
,,Price,50000.0,75000,75000,75000,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
,,Sales,0.0,35100,60840,101237.76,131609.08800000002,164248.141824,199287.74541312002,236867.72026245124,261738.83089000863,288220.64201535063
,,,,,,,,,,,,
,,"ARIES-2 - conducted in EU, South America and Israel, using 2.5g and 5mg.",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"ARIES-1 - conducted in the US, using 5mg and 10mg",,,,,,,,,,
,,35-meter improvement in 6MW,,,,,,,,,,
,,they can show between 25 to 35m with SS,,,,,,,,,,
,,get data end of November/early December,,,,,,,,,,
,,"liver tox ""incredibly low"" vs. other PAH studies",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,AMB-222,,,,,,,,,,
,,,,,,,,,,,,
,,ARTEMIS - IPF study failed on 12/23/2010,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,~88000 PAH in US,,,,,,,
,,,,,"30% of those are diagnosed, 85% of that 30% are on oral therapy",,,,,,,
,,,,,40% of the oral therapy are on endothelin antagonist,,,,,,,
,,,,,,40% of 24000,,,,,,
,,,,,component will be share gain - ATLN made the market,,,,,,,
,,,,,there is opportunity for market growth - by increasing diagnoses,,,,,,,
,,,,patent life for ambrisentan - 2018,,,,,,,,
,,,,royalty obligation to ABT for ambrisentan and darusentan,,,,,,,,
,,,,,ambrisentan tiered,,,,,,,
,,,,,darusentan starts at 14%,,,,,,,
