Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand Name,Truvada,,,,,,,,
,Generic Name,,,,,,,,,
,Price,4.7% increase 10/1/08. 7.9% increase 1/1/08. 6% price increase April 1st. ,,,,,,,,
,Prescriptions,"232k, 15% q/q from Q106.",,,,,,,,
,Clinical Trials,TOTEM: Switch from other NRTIs to qd Truvada,,,,,,,,
,,SONETT: Switch study to qd HIV regimen with truvada,,,,,,,,
,,PRECOMB: peripheral body fat distribution after switching from AZT containing backbone to truvada,,,,,,,,
,,ALTAIR: alternative antiretroviral strategies: a comparison of 3 initial regimens,,,,,,,,
,,,,,,,,,,
,DAD - Published in Lancet 4/2008,,,,,,,,,
,Demonstrates abacavir may increase the risk of cardiovascular disease. 90% increase in MI.,,,,,,,,,
,,,,,,,,,,
,ACTG5202 - NIAID-sponsored study - To be presented in August 2008?,,,,,,,,,
,abacavir (ABC) showed inferior virologic control and increased AE vs tenofovir.,,,,,,,,,
,,,,,,,,,,
,BICOMBO,,,,,,,,,
,,,,,,,,,,
,Study 934: Compared Truvada + Sustiva vs. Combivir + Sustiva,,,,,,,,,
,"published in NEJM 2006 354;3, 251-260",,,,,,,,NDC,
,,,,,,,,,TRx,TRx %
,n=517 in US and EU,,,,,,,2007-01-12,18420,0.229
,,,,,,,,2007-01-05,17109,0.227
,48 week data. The study plans to continue through 144 weeks,,,,,,,,,
,,,,,,,,,,
,HIV RNA <400 copies/ml was 84% vs 73% in favor of Truvada. P=0.002,,,,,,,,,
,<50 copies was 80% vs 70% p=0.02,,,,,,,,,
,CD4 increases was 190 vs 158 p=0.002,,,,,,,,,
,,,,,,,,,,
,9% discontinuation for Combivir vs 4% for Truvada,,,,,,,,,
,,,,,,,,,,
,SMART - NEJM results,,,,,,,,,
,Early sub-group analysis showed increase cardiovascular risk.,,,,,,,,,
,"n=5742, continuous ART or episodic ART. Increased progression in the episodic arm resulted in a stopping of this arm in 2006.",,,,,,,,,
