Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2022.0,2023.0,2024.0,2025.0
,Darzalex,,,,,,,,,,,,,,13000.0
,Darzalex royalties,,,,,,,,,,,,,,2200.0
,Other Royalties,,,,,,,,,,,,,,700.0
,Royalties,452,,,,589,,,,,,,,,2900.0
,Other Revenue,,,,,,,,,,,,,,600.0
,Revenue,603,,,,715,,,,,,,,,3500.0
,COGS,27,,,,42,,,,,,,,,
,Gross Profit,576,,,,673,,,,,,,,,
,R&D,335,,,,359,,,,,,,,,
,SG&A,125,,,,126,,,,,,,,,
,Operating Expenses,460,0,0,0,485,,,,,,,,,
,Operating Income,116,0,0,0,188,,,,,,,,,
