Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,Screening,,20.027,,,,28.055,,,,,,,,,,,,,,,,,,
,Screening - RP,,0,,,,0.108,,,,,,,,,,,,,,,,,,
,Services,,2.387,,,,3.807,,,,,,,,,,,,,,,,,,
,Revenue,,22.414,,,28.97,31.97,34.97,37.97,,,,,133.88,200.82,301.23,451.845,677.7675,1016.6512500000001,,,,,,
,COGS,,13.22,,,,16.41,,,,,,,66.94,100.41,150.615,225.9225,338.88375,508.32562500000006,,,,,,
,Gross Profit,,9.194,,,,15.559999999999999,17.485,18.985,,,,,66.94,100.41,150.615,225.9225,338.88375,508.32562500000006,,,,,,
,S&M,,40.737,,,40.989,40.989,38.989,36.989,,,,,157.956,134.2626,147.68886,162.45774600000001,178.70352060000002,196.57387266000003,,,,,,
,R&D,,88.71,,,94.196,94.196,94.196,94.196,,,,,376.784,188.392,94.196,47.098,23.549,11.7745,,,,,,
,G&A,,50.642,,,67.258,67.258,64.258,61.257999999999996,,,,,260.032,130.016,117.0144,105.31296,105.31296,105.31296,,,,,,
,Operating Expenses,,180.089,,,202.44299999999998,202.44299999999998,197.44299999999998,192.44299999999998,,,,,794.7719999999999,452.6705999999999,358.89926,314.868706,307.5654806,313.66133266,,,,,,
,Operating Income,,-170.895,,,-202.44299999999998,-186.88299999999998,-158.45399999999998,-155.45399999999998,,,,,-727.8319999999999,-352.26059999999995,-208.28426000000002,-88.94620599999996,31.31826940000002,194.66429234000003,,,,,,
,Taxes,,,,,,,,,,,,,,,,,,38.932858468000006,,,,,,
,,,,,,,,,,,,,,,,,,,155.73143387200003,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,31.049148,,,,31.049148,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,962.918,804.464,649.0100000000001,,,,,649.0100000000001,296.74940000000015,88.46514000000013,-0.4810659999998279,30.837203400000192,225.50149574000022,,,,,,
,AR,,,,,,13.406,,,,,,,,,,,,,,,,,,
,Supplies,,,,,,25.506,,,,,,,,,,,,,,,,,,
,Prepaids,,,,,,20.925,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,78.005,,,,,,,,,,,,,,,,,,
,Lease,,,,,,74.503,,,,,,,,,,,,,,,,,,
,ONCA,,,,,,8.476,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,2086.056,,,,,,,,,,,,,,,,,,
,Assets,,,,,,3269.795,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,16.247,,,,,,,,,,,,,,,,,,
,,,,,,,56.5473,,,,,,,,,,,,,,,,,,
,,,,,,,13.945,,,,,,,,,,,,,,,,,,
,,,,,,,1.413,,,,,,,,,,,,,,,,,,
,,,,,,,62.165,,,,,,,,,,,,,,,,,,
,,,,,,,422.163,,,,,,,,,,,,,,,,,,
,,,,,,,2.007,,,,,,,,,,,,,,,,,,
