Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2020.0,2021.0,2022.0,2023.0,2024.0
,Other,,,,63.344,,,,69.86,,,,,,,,,,203.45,209.232
,Bio Supplies,,,,41.285,,,,52.404,,,,,,,,,,159.957,215.664
,Diagnostics,,,,172.498,,,,166.063,,,,,,,,,,670.269,644.898
,Biopharma,,,,1492.423,,,,1687.487,,,,,,,,,,5558.301,6142.588
,Revenue,,1663.458,,1769.55,,1817.907,,1975.814,,,,,,,5340.038,4933.118,6063.967,6591.977000000001,7212.382
,COGS,,1055.794,,,,1147.464,,,,,,,,,3084.873,2970.522,3832.437,4097.406,4417.844
,Gross Margin,0,607.664,0,1769.55,0,670.443,,,,,,,,,2255.1649999999995,1962.5960000000005,2231.5299999999997,2494.571000000001,2794.5379999999996
,R&D,,85.593,,,,90.695,,,,,,,,,294.216,354.881,361.14,395.282,384.036
,SG&A,,302.574,,,,327.336,,,,,,,,,985.616,1061.508,1190.423,1366.673,1255.291
,Operating Expenses,0,388.16700000000003,0,0,0,418.031,,,,,,,,,1279.8319999999999,1416.3890000000001,1551.563,1761.955,1639.327
,Operating Income,0,219.49699999999996,0,1769.55,0,252.41199999999998,,,,,,,,,975.3329999999996,546.2070000000003,679.9669999999996,732.6160000000009,1155.2109999999996
,Interest Income,,,,,,,,,,,,,,,-249.639,-256.151,-444.464,-534.538,-670.342
,Pretax Income,,,,,,,,,,,,,,,725.6939999999996,290.0560000000003,235.50299999999964,198.07800000000088,484.8689999999996
,Taxes,,,,,,,,,,,,,,,169.639,85.126,90.111,43.349,231.19
,Net Income,,,,,,,,,,,,,,,556.0549999999996,204.93000000000032,145.39199999999965,154.7290000000009,253.67899999999958
,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,,,,,,0.4223125378508542,0.3978408787302473,0.36799837466133967,0.3784253191417386,0.3874639474170946
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,1110.336,596.975,-10.867,218.69,902.17
,CX,,,,,,,,,,,,,,,-280.154,-315.088,-283.803,-224.438,-232.538
,FCF,,,,,,,,,,,,,,,830.182,281.887,-294.67,-5.7479999999999905,669.632
