Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,"Advair (US), Seretide (EU), Adoair (Japan), Viani (German).",
,Generic Name,fluticasone/salmeterol fixed combination.,
,Mechanism,Steroid/long-acting beta agonist combination.,
,Indication,"bid maintenance asthma, stage III COPD",
,Market,"7% of the United States has asthma, 500k hospitalizations. ~1.5m US patients versus 20m asthmatics. Albuterol emergency inhaler is 1L therapy.",
,Price,"$2,500 per patient per year means 3.3 million people take Advair globally.",
,Competition,"Inhaled steroids: Pulmicort (AZN), Flovent (GSK), Asmanex (SGP), Alvesco (SNY/AAA). Fixed-combination: Symbicort. Pills: Singulair (MRK's leukotriene antagonist). Spiriva.",
,Safety,"adrenal suppression, glaucoma and decreased BMD possible side effects. label change and resurfaced fear in pediatric population.",
,,Label changes?,
,Economics,Mitsubishi Tanabe co-promote in Japan?,
,IP,Salmeterol 5126375 expires August 2008. Device claims expire between 2008-2017. Sandoz/Vectura preparing ANDA.,
,,"GSK at Citi 2008: ""Not particulary fearful about the 2010 date, we think Advair has a lot more runway than that"".",
,,5590645 device patent expires 11/1/2011.,
,,5873360 device patent expires 8/23/2016. Blister pack patent.,
,,RE40045 combination patent expires 9/7/2010.,
,,"Sandoz was first partnered with Vectura, but then discontinued the relationship and subsequently acquired Oriel (ex-GSK executives and device similar to Diskus).",
,,"Cipla, Respirics and Vectura.",
,,  Licensed some Vectura patents in 8/10.,
,,German court rules Viani combination patent not valid on 5/20/2010. German patents still applicable for 2011/2012 as well as technical hurdles.,
,,Irish court rules Seretide combination patent not valid on 6/26/2009. Other patents still exist with 2011/2012 expiry. IVX/TEVA challenger.,
,Lifecycle,THRX's Beyond Advair/Horizon.,
,Approval,COPD with chronic bronchitis November 2003: US,
,,,
,Clinical Trials,,
,,TORCH - stage II COPD study n=6000,
,,17% relative reduction in mortality over 3 years for patients receiving 50/500mg vs place (p=0.052) narrowly missed significance,
,,25% reduction in exacerbations vs placebo (p<0.001) with better QOL but more lower RT infections.,
,,,higher dose/higher price? - also COPD market expansion - 500/50 dose priced at 41% premium over currently approved dose for COPD 250/50
,,arguably not relevant given trial not compared to long-acting broncho-dilators,
,,filed sNDA 10/11/2006,
,,,
,,,
,,,
,,Alvesco - SNY/AAA - ciclesonide - FDA delay - combo with foradil,
,,KOSP/SKYE flutiform - formoterol/fluticasone dry powder combo,
,,QAB149 - Indacaterol - NVS - qd dosing - potential combo with asmanex,
,,159797 - Beyond Advair - qd LABA,
,,NVA237 - qd antimuscarinic in COPD,
,,,
,,,
,,COPD mortality claim?,
,,,
,,FDA mandated label changes,
,,,
,,10% price increase - 4-5% increase going forward,
,,,
,,,
,,,
,,,
,,,
,,,
,,"16% reduction, HR=0.84",
