Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,Brand Name,Combivir,,,,,,,,,,,,,,,,,,,,,
,Generic Name,"lamivudine, zidovudine",,,,,,,,,,,,,,,,,,,,,
,IP,September 2008: GSK sues Lupin,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,£ millions,1Q04A,2Q04A,3Q04A,4Q04A,1Q05A,2Q05A,3Q05A,4Q05A,1Q06A,2Q06E,3Q06E,4Q06E,,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
,- USA,68,69,73,70,68,70,71,74,62,68.6275,68.6275,75.255,,301.0,280.0,283.0,274.51,260.7845,247.74527499999996,235.35801124999995,141.21480674999995,56.48592269999998
,- Europe,56,56,54,59,56,60,58,53,59,57.5,57.5,56,,217.0,225.0,227.0,230.0,232.3,234.62300000000002,236.96923,213.272307,191.9450763
,- RoW,15,16,17,17,16,18,18,21,22,20.5,20.5,19,,70.0,65.0,73.0,82.0,82.82,83.6482,84.484682,85.32952882000001,86.18282410820001
