Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,Brand Name,Imitrex,,,,,,,,,,,,,,,,,,,,,
,Generic Name,Sumatriptan,,,,,,,,,,,,,,,,,,,,,
,Mechanism,"Selective 5-ht1 agonist (no 5-ht2, etc.)",,,,,,,,,,,,,,,,,,,,,
,,Mediates vasoconstriction,,,,,,,,,,,,,,,,,,,,,
,Administration,"Oral tablet, subcutaneous injection, nasal spray",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Oral Tablet,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Pain Relief at 2 Hours,,,,Pain Relief at 4 Hours,,,,,,,,,,,,,,,,
,,,Placebo,25mg,50mg,100mg,Placebo,25mg,50mg,100mg,,,,,,,,,,,,,
,,Study 1,0.27,0.52,0.61,0.62,0.38,0.67,0.78,0.79,,,,,,,,,,,,,
,,Number of Patients (N),94,298,296,296,94,298,296,296,,,,,,,,,,,,,
,,Study 2,0.26,0.52,0.5,0.56,0.38,0.7,0.68,0.71,,,,,,,,,,,,,
,,Number of Patients (N),65,66,62,66,65,66,62,66,,,,,,,,,,,,,
,,Study 3,0.17,0.52,0.54,0.57,0.19,0.65,0.72,0.78,,,,,,,,,,,,,
,,Number of Patients (N),47,48,46,46,47,48,46,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Subcutaneous Injection,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Placebo,1mg,2mg,3mg,4mg,6mg,8mg,,,,,,,,,,,,,,
,,Number of Patients (N),62,30,30,30,30,30,30,,,,,,,,,,,,,,
,,Relief (10 min),0.05,0.1,0.07,0.17,0.13,0.1,0.23,,,,,,,,,,,,,,
,,Relief (30 min),0.15,0.4,0.23,0.47,0.37,0.63,0.57,,,,,,,,,,,,,,
,,Relief (1 hr),0.24,0.43,0.57,0.57,0.5,0.73,0.8,,,,,,,,,,,,,,
,,Relief (2 hr),0.21,0.4,0.43,0.6,0.57,0.7,0.83,,,,,,,,,,,,,,
,,Adverse Events Incidence,0.55,0.63,0.63,0.77,0.8,0.83,0.93,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Study 1,,Study 2,,,,,,,,,,,,,,,,,,
,,,Placebo,6mg,Placebo,6mg,,,,,,,,,,,,,,,,,
,,,n=190,n=384,n=180,n=350,,,,,,,,,,,,,,,,,
,,1-Hour Data,,,,,,,,,,,,,,,,,,,,,
,,Pain Relief (grade 0/1),0.18,0.7,0.26,0.7,,,,,,,,,,,,,,,,,
,,No Pain,0.05,0.48,0.13,0.49,,,,,,,,,,,,,,,,,
,,Without Nausea,0.48,0.73,0.5,0.73,,,,,,,,,,,,,,,,,
,,Without Photophobia,0.23,0.56,0.25,0.58,,,,,,,,,,,,,,,,,
,,Little or No Clinical Disability,0.34,0.76,0.34,0.76,,,,,,,,,,,,,,,,,
,,2-Hour Data,,,,,,,,,,,,,,,,,,,,,
,,Pain Relief (grade 0/1),0.31,0.81,0.39,0.82,,,,,,,,,,,,,,,,,
,,No Pain,0.11,0.63,0.19,0.65,,,,,,,,,,,,,,,,,
,,Without Nausea,0.56,0.82,0.63,0.81,,,,,,,,,,,,,,,,,
,,Without Photophobia,0.31,0.72,0.35,0.71,,,,,,,,,,,,,,,,,
,,Little or No Clinical Disability,0.42,0.85,0.49,0.84,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Nasal Spray,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,placebo,5mg,10mg,20mg,,,,,,,,,,,,,,,,,
,,Headache Response (2 hrs),,,,,,,,,,,,,,,,,,,,,
,,Study 1,0.25,0.49,0.46,0.64,,,,,,,,,,,,,,,,,
,,Number of Patients (N),63,121,112,118,,,,,,,,,,,,,,,,,
,,Study 2,0.25,,0.44,0.55,,,,,,,,,,,,,,,,,
,,Number of Patients (N),138,,273,277,,,,,,,,,,,,,,,,,
,,Study 3,0.35,,0.54,0.63,,,,,,,,,,,,,,,,,
,,Number of Patients (N),100,,106,202,,,,,,,,,,,,,,,,,
,,Study 4,0.29,,0.43,0.62,,,,,,,,,,,,,,,,,
,,Number of Patients (N),112,,106,215,,,,,,,,,,,,,,,,,
,,Study 5,0.36,0.54,0.53,0.6,,,,,,,,,,,,,,,,,
,,Number of Patients (N),198,296,291,286,,,,,,,,,,,,,,,,,
,,Adverse Events,,,,,,,,,,,,,,,,,,,,,
,,Number of Patients (N),704,496,1007,1212,,,,,,,,,,,,,,,,,
,,Burning Sensation,0.001,0.004,0.006,0.014,,,,,,,,,,,,,,,,,
,,Sinus Discomfort,0.024,0.028,0.025,0.038,,,,,,,,,,,,,,,,,
,,Throat Discomfort,0.009,0.008,0.018,0.024,,,,,,,,,,,,,,,,,
,,Nausea/Vomiting,0.113,0.122,0.11,0.135,,,,,,,,,,,,,,,,,
,,Dizziness,0.009,0.01,0.017,0.014,,,,,,,,,,,,,,,,,
,,Taste,0.017,0.135,0.193,0.245,,,,,,,,,,,,,,,,,
,,Information Source: Imitrex Nasal Spray Prescribing Information,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,£ millions,1Q04A,2Q04A,3Q04A,4Q04A,1Q05A,2Q05A,3Q05A,4Q05A,1Q06A,2Q06E,3Q06E,4Q06E,,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
,- USA,126,109,127,130,123,112,131,138,135,130,123.48,105.44,,560.0,492.0,504.0,493.92,390.0,234.0,140.4,84.24,50.544
,- Europe,35,36,36,35,33,37,36,38,37,37.5,37.5,38,,146.0,142.0,144.0,150.0,148.5,147.015,145.54485,144.0894015,142.648507485
,- RoW,11,13,12,12,11,13,13,12,10,12.1275,12.1275,14.255,,53.0,48.0,49.0,48.51,48.024899999999995,47.544650999999995,47.06920449,46.5985124451,46.132527320649
