Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,Brand Name,Trizivir,,,,,,,,,,,,,,,,,,,,,
,Generic Name,"abacavir, lamivudine and zidovudine",,,,,,,,,,,,,,,,,,,,,
,Indication,HIV,,,,,,,,,,,,,,,,,,,,,
,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,
,,ACTION - presented at ICAAC,,,,,,,,,,,,,,,,,,,,,
,,Trizivir is non-inferior to Combivir+atazanavir,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,£ millions,1Q04A,2Q04A,3Q04A,4Q04A,1Q05A,2Q05A,3Q05A,4Q05A,1Q06A,2Q06E,3Q06E,4Q06E,,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
,- USA,43,49,47,38,39,40,43,44,37,38.75,38.75,40.5,,219.0,177.0,166.0,155.0,147.25,139.8875,132.893125,126.24846874999996,119.93604531249996
,- Europe,34,34,30,32,31,32,30,30,32,31.25,31.25,30.5,,142.0,130.0,123.0,125.0,125.0,125.0,125.0,125.0,125.0
,- RoW,4,4,2,5,4,3,4,3,3,3.5,3.5,4,,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
