Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,,,,,,,,,,,,,,,,EV/EPS,,,,,,EPS,,,,,,,Revenue,,,,,,,
,,Name,Ticker,Price,MC,NC,EV,SO,Update,Last,NPV,Upside,ROIC,Terminal,Discount,2022,2023.0,2024.0,2025.0,2026.0,2027.0,2022,2023.0,2024.0,2025.0,2026.0,2027.0,Founded,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0
,1.0,Las Vegas Sands,LVS,37.16,28400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Evolution Gaming,EVO ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,Flutter,FLTR,10012.5,17610,,,,,,,,,,,,,,,,,,,,,,,,2140,4414.0,6036.0,,,,,
,4.0,MGM,MGM,30.92,12150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,Ceasar's,CZR,35.7,7650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.0,Penn,PENN,29.35,4650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,Wynn,WYNN,59.92,6810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.0,DraftKings,DKNG,13.88,6230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.0,Golden Entertainment,GDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.0,Bally's,BALY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0,Churchill Downs,CHDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.0,Boyd Gaming,BYD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
