Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Name,Founded,Summary,Raise,Amount,Valuation
,Ro,,Telehealth,,,6600
,Medable,,,,,
,Click Therapeutics,,,,,
,Lyra Health,,Telehealth,,,
,Cityblock Health,2017,Services?,,,
,Olive,2012,,,,
,Dispatch Health,,,,,
,BetterUp,2013,Life Coaching,,,
,Color,,,Series E,482,
,Artera,,,,90,
,Nayya,,,Series C,55,
,Elephas,,,Series B,41.5,
,DeepCardio,,,,30,
,Anumana,,,,30,
,Nile AI,,,,30,
,Element5,,,,30,
,Omniscient Neurotechnology,,,,30,
,LatchBio,,,Series A,28,
,Care.ai,,,,27,
,Beacon Biosignals,,,Series A,27,
,Ozette Technologies,,,Series A,26,
,Navina,,,Series B,22,
,Alife,,,Series A,22,
,Apella,,,Series A,21,
,Lokavant,,,Series A,21,
,Kintsugi,,,Series A,20,
,MDI Health,,,Series A,20,
,Eleos Health,,,Series A,20,
,Exeevo,,,,20,
,Quinten Health,,,,14,
,Lynx MD,,,Seed,12,
,Capitol,,,Seed,10,
,Healthtech 1,,,,,YC Company
