Main,Unnamed: 1,Unnamed: 2,2022-07-31 00:00:00,2022-10-30 00:00:00,2023-01-29 00:00:00,2023-04-30 00:00:00,2023-07-30 00:00:00,2023-10-29 00:00:00,2024-01-28 00:00:00,2024-04-28 00:00:00,2024-07-28 00:00:00,2024-10-28 00:00:00,2025-02-02 00:00:00,2025-04-28 00:00:00,2025-08-03 00:00:00,2025-10-28 00:00:00,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,,FY20,FY21,FY22,FY23,FY24
,Revenue,,43792,38872,35831,37257,42916,37710,34786,36418,43175,40217,39704,39856,45277,,,,,,,,,132110,151157,157403,152669,
,COGS,,29309,25648,23905,24700,28759,24972,23278,23985,28759,26792,26670,26397,30152,,,,,,,,,87257,100325,104625,101709,
,Gross Profit,,14483,13224,11926,12557,14157,12738,11508,12433,14416,13425,13034,13459,15125,,,,,,,,,44853,50832,52778,50960,
,SG&A,,6657,6468,6549,6355,5915,6649,6679,6667,7144,7212,7725,7530,7764,,,,,,,,,24447,25406,26284,25598,
,Operating Income,,7826,6756,5377,6202,8242,6089,4829,5766,7272,6213,5309,5929,7361,,,,,,,,,20406,25426,26494,25362,
,Interest Income,,-379,-406,-408,-441,-428,-438,-458,-428,-489,-595,-608,-591,-550,,,,,,,,,-1562,-1303,-1300,-1765,
,Pretax Income,,7447,6350,4969,5761,7814,5651,4371,5338,6783,5618,4701,5338,6811,,,,,,,,,18844,24123,25194,23597,
,Taxes,,1658,1403,982,1237,1502,1158,884,1051,1484,1175,890,1109,1454,,,,,,,,,4112,5304,5372,4781,
,Net Income,,5789,4947,3987,4524,6312,4493,3487,4287,5299,4443,3811,4229,5357,,,,,,,,,14732,18819,19822,18816,
,EPS,,5.64780487804878,4.835777126099707,3.916502946954813,4.465942744323791,6.2931206380857425,4.4974974974974975,3.5080482897384306,4.321572580645161,5.341733870967742,4.474320241691843,3.8340040241448694,4.254527162977867,5.389336016096579,,,,,,,,,13.66604823747681,17.78733459357278,19.338536585365855,18.773759042155152,
,Shares,,1025,1023,1018,1013,1003,999,994,992,992,993,994,994,994,,,,,,,,,1078,1058,1025,1002.25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,-0.020003653635367158,-0.02989298209508129,-0.029164689793753973,-0.02251925812598976,0.006035045204585643,0.06648103951206585,0.14137871557523152,0.09440386622000108,0.04868558193398953,,,,,,,,,,0.14417530845507542,0.04132127523038953,-0.030075665648049865,
,Gross Margin,,0.3307225063938619,0.3401934554435069,0.3328402779715888,0.3370373352658561,0.32987696896262464,0.33778838504375497,0.3308227447823837,0.34139711131857875,0.33389693109438334,0.33381405873138226,0.3282792665726375,0.3376906864712967,0.33405481811957505,,,,,,,,,0.33951252743925514,0.3362861131141793,0.3353049179494673,0.33379402498215094,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,7182,6561,872,5614,6591,4234,11324,5497,,,,,,,,,,,,,,18839,16571,14615,14615,21172
,CapEx,,1447,769,903,905,792,671,1650,847,,,,,,,,,,,,,,2463,2566,3119,3119,3226
,FCF,,5735,5792,-31,4709,5799,3563,9674,4650,,,,,,,,,,,,,,16376,14005,11496,11496,17946
,TTM FCF,,,,,16205,16269,14040,23745,23686,,,,,,,,,,,,,,,,,,
