Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031,2032.0,2033.0,2034.0,2035.0,2036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subscribers,,,,1040,1209,1300,1426,1537,1709,1864,2047,2229,2366,,,,,,,,,1040.0,1537.0,2229.0,2897.7000000000003,3397.7000000000003,3897.7000000000003,4397.700000000001,4897.700000000001,5397.700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Orders,,,,1855,2047,2109,2222,2298,2461,2527,2664,2807,,,,,,,,,,6122.0,8676.0,10459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AOV,,,,87,90,95,99,103,109,121,147,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARPU,,,,160.77211538461538,157.79156327543424,159.93230769230772,158.97545582047687,160.4547820429408,162.7682855471036,169.3390557939914,196.16805080605764,215.85419470614625,247.67540152155536,,,,,,,,,636.0,648.0,768.0,844.8000000000001,870.1440000000001,896.2483200000001,923.1357696000002,950.8298426880002,979.3547379686403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MORpAS,,,,,55,53,54,53,55,57,67,73,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Online,,,,,184.175,201.178,219.665,237.363,267.761,306.843,392.573,470.76,576.361,,,,,,,,,502.507,842.381,1437.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wholesale,,,,,6.595,6.734,7.034,9.256,10.41,8.805,8.983,10.379,9.649,,,,,,,,,24.409,29.619,38.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,167.203,190.77,207.912,226.699,246.619,278.17100000000005,315.648,401.556,481.139,586,544.8,594.8,644.8,,,82.558,148.757,271.878,526.916,872.0,1476.5140000000001,2370.3999999999996,2956.4882688000007,3493.307076864001,4059.674173969922,4656.879320533019,5286.26306913333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,34.866,37.345,37.754,39.391,42.561,49.076,59.035,83.67,111.598,155.321,128.637,118.96,128.96,,,,,67.384,118.194,157.051,303.379,521.4879999999998,739.1220672,978.1259815219205,1217.902252190977,1397.063796159906,1585.878920739999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,132.337,153.425,170.15800000000002,187.30800000000002,204.058,229.09500000000006,256.61300000000006,317.88599999999997,369.541,430.679,416.16299999999995,475.84,515.8399999999999,,,,,204.49399999999997,408.72200000000004,714.9490000000001,1173.1350000000002,1848.9119999999998,2217.3662016000007,2515.1810953420804,2841.771921778945,3259.8155243731135,3700.3841483933306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marketing,,,,85.542,97.245,107.219,116.076,125.895,130.553,144.922,182.284,221.085,231.235,217.862,236.9692,287.4105,,,,,135.902,272.587,446.435,678.844,950.3816,1045.4197600000002,1149.9617360000004,1264.9579096000007,1391.453700560001,1530.5990706160012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operations & Support,,,,22.521,26.182,29.227,31.609,32.839,38.747,41.453,47.519,58.083,63.033,66.49,57.0228,69.69959999999999,,,,,47.593,77.403,119.857,185.802,260.1228,286.13508,314.74858800000004,346.2234468000001,380.8457914800001,418.93037062800016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TD,,,,8.311,10.748,11.804,12.27,13.405,15.324,18.654,21.092,23.749,29.914,37.848,25.310399999999998,28.4988,,,,,22.379,29.237,48.227,78.819,86.7009,95.37099,104.90808900000002,115.39889790000002,126.93878769000004,139.63266645900006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,,27.568,30.513,31.144,35.907,32.319,34.568,40.554,44.617,48.028,48.61,67.273,53.5404,57.633599999999994,,,,,113.662,98.192,129.883,167.767,184.5437,202.99807,223.29787700000003,245.62766470000005,270.19043117000007,297.2094742870001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,143.942,164.68800000000002,179.394,195.86200000000002,204.45799999999997,219.192,245.583,295.512,350.94500000000005,372.79200000000003,389.47299999999996,372.8428,443.2425,,,,,319.536,477.41900000000004,744.402,1111.232,1481.749,1629.9239000000002,1792.9162900000006,1972.2079190000009,2169.428710900001,2386.3715819900012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,-11.605000000000018,-11.263000000000005,-9.23599999999999,-8.554000000000002,-0.39999999999997726,9.903000000000048,11.030000000000058,22.373999999999967,18.595999999999947,57.886999999999944,26.689999999999998,102.99719999999996,72.59749999999991,,,,,-115.04200000000003,-68.697,-29.452999999999975,61.90300000000025,367.1629999999998,587.4423016000005,722.2648053420799,869.5640027789441,1090.3868134731124,1314.0125664033294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Income,,,,0.577,1.8777,2.239,2.226,2.596,2.5,2.394,1.219,3.695,2.598,6.13,6.13,6.13,,,,,4.247,2.988,7.882,9.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,-11.028000000000018,-9.385300000000004,-6.99699999999999,-6.328000000000002,2.196000000000023,12.403000000000048,13.424000000000058,23.592999999999968,22.290999999999947,60.48499999999994,32.82,109.12719999999996,78.7274999999999,,,,,-110.79500000000003,-65.709,-21.570999999999977,71.71100000000024,367.1629999999998,587.4423016000005,722.2648053420799,869.5640027789441,1090.3868134731124,1314.0125664033294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
