Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,1H22,2H22,1H23,2H23,1H24,2H24
,Rexulti,,,,,,1075,,,,1266,,,,,,2135,,2381,
,Brintellix/Trintellix,,,,,,1079,,,,1183,,,,,,2156,,2351,
,Abilify Maintena/Asimtufii,,,,,,799,,,,866,,,,,,,,,
,Vyepti,,,,,,406,,,,725,,,,,,,,,
,Cipralex/Lexapro,,,,,,536,,,,498,,,,,,,,,
,Other Pharmaceuticals,,,,,,951,,,,854,,,,,,,,,
,Other,,,,,,92,,,,61,,,,,,,,,
,Revenue,,,,,,4938,0,0,0,5453,,,,0,0,4291,0,4732,0
,COGS,,,,,,531,,,,638,,,,,,,,,
,Gross Profit,,,,,,4407,,,,4815,,,,,,,,,
,Sales,,,,,,1828,,,,2005,,,,,,,,,
,Admin,,,,,,306,,,,479,,,,,,,,,
,R&D,,,,,,826,,,,909,,,,,,,,,
,Operating Expenses,,,,,,2960,,,,3393,,,,,,,,,
,Operating Income,,,,,,1447,,,,1422,,,,,,,,,
,Interest Income,,,,,,-55,,,,-4,,,,,,,,,
,Pretax Income,,,,,,1392,,,,1418,,,,,,,,,
,Taxes,,,,,,185,,,,230,,,,,,,,,
,Net Income,,,,,,1207,,,,1188,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,6237,,,,,,,,,
,AR,,,,,,,,,,4507,,,,,,,,,
,Inventories,,,,,,,,,,4510,,,,,,,,,
,DTA,,,,,,,,,,266,,,,,,,,,
,Other,,,,,,,,,,246,,,,,,,,,
,ROU,,,,,,,,,,375,,,,,,,,,
,PP&E,,,,,,,,,,2575,,,,,,,,,
,Goodwill,,,,,,,,,,20371,,,,,,,,,
,Assets,,,,,,,,,,39087,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,3718,,,,,,,,,
,AP+Provisions,,,,,,,,,,6811,,,,,,,,,
,Taxes,,,,,,,,,,3195,,,,,,,,,
,Lease,,,,,,,,,,1463,,,,,,,,,
,Other,,,,,,,,,,456,,,,,,,,,
,Pension,,,,,,,,,,222,,,,,,,,,
,SE,,,,,,,,,,23222,,,,,,,,,
,L+SE,,,,,,,,,,39087,,,,,,,,,
