Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Indication,,,,,,Price,6.0,
,ATEV (acellular tissue engineered vessel),Vascular Trauma,,,,,,Shares,127.84193,Q324
,,,,,,,,MC,767.0515800000001,
,,,,,,,,Cash,115.78,Q324
,,,,,,,,Debt,0.0,Q324
,,,,,,,,EV,651.2715800000001,
,,,,,,,,,,
,,,,,,,,PIC,597.574,Q224
,,,,,,,,AD,-625.873,Q224
,,,,,,,,,,
,2.808988 at 5.34,14.999995919999998,,,,,,,,
,5.68182 at 5.28,30.000009600000002,,,,,,Formed: 2004,,
,,,,,,,,CEO: Laura Niklason,,
