Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Part A: Hospital,,,,,,,,,,Price,226.0,
,Part B: Medical Insurance,,,,,,,,,,Shares,120.401661,Q224
,Part C: Medicare Advantage,,,,,,,,,,MC,27210.775386,
,Part D: Drugs,,,,,,,,,,Cash,24049.0,Q224
,,,,,,,,,,,Debt,24696.0,Q224
,H5216 contract is 45% MA.,,,,,,,,,,EV,27857.775386,
,"5% bonus, 70% rebate --> 0% bonus, 60% rebate",,,,,,,,,,,,
,2800 - MA margin,,,,,,,,,,,,
,2800,,,,,,,,,,,,
,1260,,,,,,,,,,,,
