Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,,,,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0
,RPO,,,,,,,,,,,,,,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hybrid Platform,,,,,4080,,,,4179,4350,,,,4575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transaction Processing,,,,,1692,,,,1742,1943,,,,2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Consulting,,,,,2255,,,,2283,2295,,,,2360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,App Consulting,,,,,1619,,,,1736,1991,,,,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tech Consulting,,,,,955,,,,943,941,,,,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hybrid Infrastructure,,,,,1700,,,,1709,2260,,,,2360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Infrastructure Support,,,,,1519,,,,1389,1358,,,,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financing,,,,,154,,,,196,185,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,224,,,,75,152,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Services,,,,,7703,,,,7524,7553,,,,7405,,,,,,,,,,,,,,,,,,,,,,,,,,,,27626.0,29225.0,30206.0,,,,
,Sales,,,,,6339,,,,6532,7739,,,,8195,,,,,,,,,,,,,,,,,,,,,,,,,,,,26569.0,27346.0,29673.0,,,,
,Financing,,,,,155,,,,196,183,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.0,780.0,651.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Software,,,,,,,,,,,5947,,,,6524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consulting,,,,,,,,,,,5178,,,,5152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Infrastructure,,,,,,,,,,,3272,,,,3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financing/Other,,,,,,,,,,,356,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,14197,,,,14252,15475,14753,,,15769,14967,,,,,,,,,,,,,,,,,,,,,,,,,,,55179.0,57351.0,60530.0,,,,
,CofServices,,,,,5349,,,,5310,5294,,,,5126,,,,,,,,,,,,,,,,,,,,,,,,,,,,17689.0,19147.0,21062.0,,,,
,CofSales,,,,,1415,,,,1322,1587,,,,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,6048.0,6184.0,6374.0,,,,
,CofFinancing,,,,,98,,,,110,93,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.0,534.0,406.0,,,,
,COGS,,,,,6862,,,,6742,6974,6730,,,6819,6547,,,,,,,,,,,,,,,,,,,,,,,,,,,24314.0,25865.0,27842.0,,,,
,Gross Profit,,,,,7335,,,,7510,8501,8023,,,8950,8420,,,,,,,,,,,,,,,,,,,,,,,,,,,30865.0,31486.0,32688.0,,,,
,SG&A,,,,,4597,,,,4853,4900,4458,,,4938,4911,,,,,,,,,,,,,,,,,,,,,,,,,,,20561.0,18745.0,18609.0,,,,
,R&D,,,,,1679,,,,1655,1687,1685,,,1840,1876,,,,,,,,,,,,,,,,,,,,,,,,,,,6262.0,6488.0,6567.0,,,,
,Operating Expenses,,,,,6276,,,,6508,6587,6143,,,6778,6787,,,,,,,,,,,,,,,,,,,,,,,,,,,26823.0,25233.0,25176.0,,,,
,Operating Income,,,,,1059,,,,1002,1914,1880,,,2172,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,4042.0,6253.0,7512.0,,,,
,Interest Income,,,,,-436,,,,58,86,-412,,,47,-429,,,,,,,,,,,,,,,,,,,,,,,,,,,-668.0,-543.0,-553.0,,,,
,Pretax Income,,,,,623,,,,1060,2000,1468,,,2219,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,3374.0,5710.0,6959.0,,,,
,Taxes,,,,,-110,,,,131,419,159,,,389,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,124.0,0.0,,,,
,Net Income,,,,,733,,,,929,1581,1309,,,1830,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,3374.0,5586.0,6959.0,,,,
,EPS,,,,,0.815078394306683,,,,1.0236914600550964,1.7375535773161885,1.4340490797546013,,,1.9884820167336739,1.303594629709831,,,,,,,,,,,,,,,,,,,,,,,,,,,3.789529487346521,6.234444580854697,7.709402391144435,,,,
,Shares,,,,,899.3,,,,907.5,909.9,912.8,,,920.3,923.6,,,,,,,,,,,,,,,,,,,,,,,,,,,890.348,895.99,902.664,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
