Unnamed: 0,Unnamed: 1,Unnamed: 2
,Brand Name,INCB7839
,Generic Name,
,Indication,"Solid Tumors, Breast Cancer"
,Mechanism,Sheddase Inhibitor; synergy with herceptin given the ability to maintain HER2 on cells by inhibiting sheddase activity (which may make them more susceptible to Herceptin)
,Administration,MTD unknown
,Competition,
,Economics,
,IP,
,History,
,Clinical Trials,
,,Phase Ib / IIa solid tumors
,,maximal tolerated dose has yet to be reached
,,
,,Phase Ib / IIa Breast Cancer
,,plan initiation
