Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,1H22,2H22,1H23,2H23,1H24,2H24,,,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,Somatuline,,,,306.1,,265.5,,277.7,,264.4,,,,,,528.7,,522.2,,,,,,,,1218.0,1065.6,,,,,,,,,,,,
,Cabometyx,,,,121,,135.4,,137.1,,149.7,,,,,,265.8,,304.2,,,,,,,,448.7,534.8,,,,,,,,,,,,
,Decapeptyl,,,,133.7,,146.8,,138.4,,146.1,,,,,,276.8,,276.9,,,,,,,,529.7,545.5,,,,,,,,,,,,
,Onivyde,,,,40.4,,40.7,,43.5,,49.9,,,,,,77.6,,97.2,,,,,,,,162.4,163.7,,,,,,,,,,,,
,Tazverik,,,,9.9,,9.4,,9.6,,11,,,,,,18.6,,23.4,,,,,,,,12.7,37.7,,,,,,,,,,,,
,Dysport,,,,193.2,,164.7,,166.9,,171.7,,,,,,319.4,,348.7,,,,,,,,593.6,648.8,,,,,,,,,,,,
,Bylvay,,,,0,,18.1,,28.2,,30.6,,,,,,23.1,,56.7,,,,,,,,0.0,73.8,,,,,,,,,,,,
,Sohonos,,,,-0.1,,0.3,,4.3,,3.4,,,,,,0.5,,10.4,,,,,,,,0.0,7.1,,,,,,,,,,,,
,Increlex,,,,1.2,,4.2,,4.5,,3.5,,,,,,8.4,,7.4,,,,,,,,13.9,17.3,,,,,,,,,,,,
,NutropinAQ,,,,6.4,,5.4,,4,,0.7,,,,,,10.8,,3.1,,,,,,,,27.2,18.8,,,,,,,,,,,,
,Iqirvo,,,,0,,0,,0,,1.3,,,,,,0,,1.3,,,,,,,,0.0,0.0,,,,,,,,,,,,
,Other Oncology,,,,1.1,,1.1,,0.9,,0.9,,,,,,2.1,,1.9,,,,,,,,8.0,4.0,,,,,,,,,,,,
,Other Neuroscience,,,,3.5,,3,,3.4,,3.6,,,,,,4.9,,5.8,,,,,,,,10.8,10.5,,,,,,,,,,,,
,Revenue,,,,816.4,,794.6,,818.4999999999999,,836.8,,,,,0,1536.6999999999996,0,1659.2000000000005,,,,,,,,3025.0,3127.6,,,,,,,,,,,,
