Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,Caplyta,94.731,110.128,125.81,,144.843,161.276,175.159,,,,,,,,,,,,,,,,,,,,,,
,Other,0.575,0.664,0.363,,0.023,0.112,0.216,,,,,,,,,,,,,,,,,,,,,,
,Revenue,95.306,110.792,126.173,129.904,144.86599999999999,161.388,175.375,190.375,,,,,,22.53,81.708,249.132,462.175,672.004,1344.008,2016.0120000000002,3024.018,4536.027,,,,,,,
,COGS,6.751,7.163,9.129,,9.9,11.354,15.304,,,,,,,,,,,,134.4008,201.60120000000003,302.40180000000004,453.6027,,,,,,,
,Gross Profit,88.55499999999999,103.629,117.044,,134.96599999999998,150.034,160.071,,,,,,,,,,,,1209.6072,1814.4108,2721.6162,4082.4243,,,,,,,
,SG&A,98.923,101.014,105.207,,113.085,121.574,132.101,,,,,,,,,,,,50.0,50,50.0,50.0,,,,,,,
,R&D,38.024,49.794,41.55,,42.833,56.183,66.819,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,136.947,150.808,146.757,0,155.918,177.757,198.92000000000002,,,,,,,,,,,,50.0,50,50.0,50.0,,,,,,,
,Operating Income,-48.39200000000001,-47.17899999999999,-29.713000000000008,0,-20.952000000000027,-27.723000000000013,-38.84900000000002,,,,,,,,,,,,1159.6072,1764.4108,2671.6162,4032.4243,,,,,,,
,Interest Income,4.349,4.53,5.498,,6.064,11.56,12.899,,,,,,,,,,,,0.0,0,0.0,0.0,,,,,,,
,Pretax Income,-44.043000000000006,-42.64899999999999,-24.215000000000007,,-14.888000000000027,-16.16300000000001,-25.950000000000017,,,,,,,,,,,,1159.6072,1764.4108,2671.6162,4032.4243,,,,,,,
,Taxes,0,0,0,,0.057,0.057,0,,,,,,,,,,,,115.96072,176.44108000000003,267.16162,403.24243,,,,,,,
,Net Income,-44.043000000000006,-42.64899999999999,-24.215000000000007,,-14.945000000000027,-16.22000000000001,-25.950000000000017,,,,,,,,,,,,1043.6464799999999,1587.96972,2404.45458,3629.1818700000003,,,,,,,
,EPS,-0.4629541353231242,-0.44450089628177264,-0.2518641928717847,,-0.15427052981268985,-0.15637803481728996,-0.2453474141129469,,,,,,,,,,,,,,,,,,,,,,
,Shares,95.134694,95.948063,96.143083,,96.875275,103.723007,105.768386,,,,,,,,,,,,,Discount,0.07,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Luma,7093.801435836413,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Cash,1024.6570000000002,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Value,8118.458435836413,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,MC,8876.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-0.08534717937850245,,,,,,,,
