Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,2021-08-31 00:00:00,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,2022-08-31 00:00:00,2022-11-30 00:00:00,2023-02-28 00:00:00,2023-05-31 00:00:00,2023-08-31 00:00:00,2023-11-30 00:00:00,2024-02-29 00:00:00,2024-05-31 00:00:00,2024-08-31 00:00:00,,2017-08-31 00:00:00,2018-08-31 00:00:00,2019-08-31 00:00:00,2020-08-31 00:00:00,2021-08-31 00:00:00,2022-08-31 00:00:00,2023-08-31 00:00:00,2024-08-31 00:00:00
,,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,FQ324,FQ424,,F2017,F2018,F2019,F2020,F2021,F2022,F2023,F2024
,Revenue,7409,8567,7553,8328,9030,9635,8134,8475,8458,8387,6767,6765,6600,,19063.121,22095.416,25282,27266,29285,33478,34702,28519
,COGS,6822,7892,6944,7709,8301,8892,7473,7778,7692,7612,6137,6157,6138,,17517.478,20388.624,23369,25335,26926,30846,31835,26044
,Gross Profit,587,675,609,619,729,743,661,697,766,775,630,608,462,,1545.643,1706.7920000000013,1913,1931,2359,2632,2867,2475
,SG&A,299,308,280,282,284,319,285,307,295,314,308,268,,,907.702,1050.716,1111,1175,1213,1154,1206,890
,R&D,7,9,8,8,8,9,8,8,9,10,10,9,,,29.68,38.531,43,43,34,33,34,29
,Operating Expenses,306,317,288,290,292,328,293,315,304,324,318,277,,,937.382,1089.2469999999998,1154,1218,1247,1187,1240,919
,Operating Income,281,358,321,329,437,415,368,382,462,451,312,331,,,608.2610000000001,617.5450000000014,759,713,1112,1445,1627,1556
,Interest Income,-28,-33,-62,-43,-57,-63,-72,-69,-71,-68,-69,-60,,,-138.074,-149.002,-188,-174,-124,-195,-275,-197
,Pretax Income,253,325,259,286,380,352,296,313,391,383,243,271,,,470.18700000000007,468.5430000000014,571,539,988,1250,1352,1359
,Taxes,62,76,62,60,37,76,80,73,215,41,135,72,,,129.066,285.86,164,248,248,235,444,248
,Net Income,191,249,197,226,343,276,216,240,176,342,108,199,,,341.1210000000001,182.6830000000014,407,291,740,1015,908,1111
,EPS,1.2724850099933378,1.6858496953283684,1.3456284153005464,1.5771109560362875,2.4447612259444047,2,1.5847395451210564,1.7764618800888232,1.3124533929903057,2.5889477668433005,0.851063829787234,1.6351684470008216,,,1.8355826042036618,1.0436404561138994,2.566204287515763,1.913214990138067,4.865220249835635,7.027869136229876,6.68261269549218,8.754925137903863
,Shares,150.1,147.7,146.4,143.3,140.3,138,136.3,135.1,134.1,132.1,126.9,121.7,,,185.838,175.044,158.6,152.1,152.1,144.425,135.875,126.89999999999999
,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.2187879605884735,0.12466440994513839,0.07692307692307687,0.01765129682997113,-0.063344407530454,-0.12952776336273997,-0.16805999508237035,-0.2017699115044248,-0.2196736817214472,,,0.15906603121283247,0.14421923533822567,0.0784748042085277,0.07404826523875885,0.14317910192931538,0.03656132385447153,-0.17817416863581348
,GM %,0.07922796598731273,0.07879070853274192,0.08063021316033364,0.07432756964457253,0.08073089700996677,0.07711468604047743,0.08126383083353823,0.08224188790560472,0.09056514542445022,0.09240491236437344,0.09309886212501847,0.08987435328898744,0.07,,0.0810802701194626,0.07724642975719494,0.07566648208211375,0.07082080246460794,0.08055318422400547,0.07861879443216441,0.08261771655812346,0.08678424909709316
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,166,414,468,603,166,414,468,686,448,218,515,,,,,,,,1433,1651,1734
,CapEx,,314,323,223,525,314,323,223,170,288,266,106,,,,,,,,1159,1385,1030
,FCF,,-148,91,245,78,-148,91,245,516,160,-48,409,,,,,,,,274,266,704
