Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Name,Date,Size,Description
,SterilMed,,,Reprocessing/reusable medtech.
,RespiVert,2010-06-01 00:00:00,,Respiratory biotech/pharma.
,Jontex (disposal),2009-10-10 00:00:00,221m,Sold Brazilian condom maker to Hypermarcas.
,Cougar,,"$1,000m",Prostate Cancer Phase III Candidate
,Omrix,,,
,Mentor,,,
,Dabao,,,Chinese Cosmetics
,SurgRx,,,
,Conor Medsystems,2007-02-01 00:00:00,,CoStar cobalt chromium stent with fully bioabsorbable polymer
,Pfizer Consumer Healthcare,2006-12-20 00:00:00,,
,Ensure Medical,Q3 2006,,post-catheterization closure of the femoral artery - clinical trials in early 2007
,Colbar Lifesciences,,$100m,Shutting down in 2009.
,Groupe Vendome,Q1:06,,French marketer of adult and baby skin care products
,Vascular Control Systems,,,Medical devices to treat fibroids and control bleeding in obstetric and gynecologic applications.
,Animas/Amicus?,2006-02-21 00:00:00,$518m,Leading maker of insulin infusion pumps.
,Hand Innovations LLC,,,fracture fixation products for the upper extremities
,Future Medical Systems SA,,,Arthroscopic Fluid Management systems
,Guidant,Q3 2005,,"Failed acquisition, acquired by Boston Scientific."
,TransForm Pharmaceuticals,,,Superior formulations and novel crystalline forms of drug molecules
,Closure Medical,2005,$370m,"Biosurgicals, Ethicon/EES businesses."
,Peninsula,2005,,Antibiotic: doripenem.
,Rembrandt,,,oral care
,OraPharma,2003-02-01 00:00:00,,Arestin periodontal disease drug.
,Axert marketing rights,2003-04-01 00:00:00,,Purchased from Almirall.
,Alza,,,
,Scios,,,
,Tibotec,2002,,"Antivirals: HIV, Hepatitis C, TB."
,Centocor,,,
,Finsbury Orthopaedics,,,
,Gloster Europe,,,
,Acclarent,,,
