Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Brand Name,Risperdal Consta,,,,,,,,,,,,,,,,,,,,,,,
,Generic Name,risperidone,,,,,,,,,,,,,,,,,,,,,,,
,Administration,Intramuscular,,,,,,,,,,,,,,,,,,,,,,,
,Mechanism,Atypical antipsychotic. Dopamine and serotonin subreceptor antagonist.,,,,,,,,,,,,,,,,,,,,,,,
,Economics,Royalty to Alkermes (ALKS).,,,,,,,,,,,,,,,,,,,,,,,
,Approved,10/29/2003 US.,,,,,,,,,,,,,,,,,,,,,,,
,IP,US 11/2013: method of use for treatment of schizophrenia. Maximum 6/30/2019.,,,,,,,,,,,,,,,,,,,,,,,
,,6110503 expires in 2017 and is an ALKS Medisorb patent.,,,,,,,,,,,,,,,,,,,,,,,
,,6596316 expires in 2019 and is an ALKS Medisorb patent.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,1Q03,2Q03,3Q03,4Q03,1Q04,2Q04,3Q04,4Q04,1Q05,2Q05,3Q05,4Q05,1Q06,2Q06,3Q06,4Q06,1Q07,2Q07,3Q07,4Q07,1Q08,2Q08,3Q08,4Q08
,US,5,10,16,30,41,55,60,74,104,114,134,,,,,102,101,102,111,108,101,134,134,134
,ROW,46,57.4,70,76.4,78,89,101,104,106,112,124,,,,,124,160,176,183,187,208,124,124,124
,WW,51,67.4,86,106.4,119,144,161,178,210,226,258,,,,,226,261,278,294,295,309,258,258,258
,,,,,,,,,,,,,,,,,,,,,,,,,
,US,,,,,,,,,,,,,,,,,,,,0.05882352941176472,0,,,
,ROW,,,,,,,,,,,,,,,,,,,,0.5080645161290323,0.30000000000000004,,,
,Y/Y,,,,,,,,,,,,,,,,,,,,0.30530973451327426,0.1839080459770115,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,2004,,,,,,,,,,,,,,,,,,,,,,
,US,61,230,,,,,,,,,,,,,,,,,,,,,,
,ROW,249.8,372,,,,,,,,,,,,,,,,,,,,,,
,WW,310.8,602,,,,,,,,,,,,,,,,,,,,,,
