Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Ortho Tri-Cyclen,norgestimate/ethinyl estradiol,,,,,,
,Administration,Tablet,,,,,,
,,"Combination (3) triphasic oral contraceptive containing .18mg,.215mg,25mg nogestimate and 0.035mg ethiny estradiol",,,,,,
,IP,"Approved 7/3/92, no unexpired patents",,,,,,
,,,,,,,,
,Ortho Tri-Cyclen Lo,norgestimate/ethinyl estradiol,,,,,,
,Administration,Tablet,,,,,,
,,"Combination (3) triphasic oral contraceptive containing .18mg,.215mg,25mg nogestimate and 0.025mg ethiny estradiol",,,,,,
,IP,"Approved 8/22/02, expires  6/9/19 (method patent)",,,,,,
,,,,,,,,
,Orhto-Cyclen,norgestimate/ethinyl estradiol,,,,,,
,Administration,Tablet,,,,,,
,,Combination contraceptive product containing 0.250 mg norgestimate and 0.035 mg ethinyl estradiol.,,,,,,
,IP,Approved 12/29/89,,,,,,
,,,,,,,,
,Ortho-Novum,norethindrone/ethinyl estradiol,,,,,,
,Administration,Tablet,,,,,,
,,Combination oral contraceptive containing,,,,,,
,IP,4 Patents early 1980's,,,,,,
,,,,,,,,
,Ortho Evra,norelgestromin/ethinyl estradiol transdermal system,,,,,,
,Administration,Transdermal,,,,,,
,,Combination transdermal contraceptive patch containing 6 mg norelgestromin and 0.75 mg ethinyl estradiol,,,,,,
,IP,"Approved 11/20/01, Expires 11/20/15 (Method & Composition)",,,,,,
,,,,,,,,
,Hormonal Contraceptives,2001,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
,US,,,,,920.0,781.0,662.0
,ROW,,,,,216.0,235.0,236.0
,,,,,,1136.0,1016.0,898.0
,,,,,,,,
,Q106: strong growth in ortho tri-cyclen lo. Ortho evra declined due to labeling changes and negative media coverage. ,,,,,,,
