Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005E,2006E,2007E,2008E,,Q1:99,Q2:99,Q3:99,Q4:99,Q1:00,Q2:00,Q3:00,Q4:00,Q1:01,Q2:01,Q3:01,Q4:01,Q1:02,Q2:02,Q3:02,Q4:02,Q1:03,Q2:03,Q3:03,Q4:03,Q1:04,Q2:04,Q3:04,Q4:04,Q1:05,Q2:05,Q3:05E,Q4:05E,Q1:06E,Q2:06E,Q3:06E,Q4:06E
,Total Recon,999.3443230494165,1056.3069494632332,,,,,,,,,,,,,,264.4993762993763,258.7037134695671,259.6821428571429,273.7422402159244,,,,,,,,,,,,,,,,,,,,,,,,
,U.S.,573.80073800738,622.0,743.0,865.5,973.9,1134.4,1337.3,1504,1680,1860,,142.99065420560746,140.0560224089636,142.98978644382544,147.98206278026905,153,150,154,165,181.8,178.6,184.6,198,208,210,220,227.5,238.4,230,242.5,263,271,267,281.4,315,329.5,317.8,330,360,368,360,372,404
,OUS,425.7911269247384,434.3069494632332,-743.0,-865.5,-973.9,-1134.4,0,0,-1680,-1860,,108.35702264273695,104.82518174500204,105.15636105188347,107.24086806304184,111.49937629937631,108.7037134695671,105.68214285714288,108.74224021592443,-181.8,-178.6,-184.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bone Cement,24.005486968449933,35.0,38.1,40.0,43.9,45.9,47.39999999999999,48.4,49,50.4,,9.9,6,5,4.5,9,9,8,9,9.4,10.7,8.5,9.5,9.8,11.4,8.8,10,12.4,12,9,10.5,12.8,12.6,9.5,11,13.2,13.1,9.8,11.3,13.4,13.4,10,11.6
,Spinal,252.51396648044692,316.4,396.0,489.1,603.0,705.0,813.7,950,1100,1260,,52.50109377278694,60.0030969340353,65.000426511985,75.02067824648469,72,77.5,76.2,90.7,92,97,96,111,114,123,116.6,135.5,140,150,144,169,162,180,163.6,199.4,197.7,207.8,188.2,220,230,240,220,260
,Trauma,94.97777777777777,106.85,112.4,131.3,158.8,152.10000000000002,176,202,230,258,,25,25.996533795493935,29.67359050445104,21.999999999999996,30.4,30,22.25,24.2,25,33.7,25.7,28,31,38.4,29.4,32.5,38,47,37.8,36,35.2,36.5,33.6,46.8,37,49.4,39.6,50,50,54,44,54
,Sports Medicine*,60.434,41.0,39.0,215.0,258.0,279.84000000000003,317.6,358,400,440,,20.8923,17.65295,10.2,0,19.5,15.5,6,0,10.5,9.5,9,10,54,52,51,58,65,62,62,69,75,61,59,84.84,87.8,71,66.8,92,96,82,78,102
,Other**,252.90697674418604,261.0,263.4,276.4,326.9,864.96,355.59999999999997,372,400,430,,68.00286327845383,65,59.913999999999994,60.01936108422072,76,65,58,62,78,66,58,61.4,80,71,60,65.4,92.5,87,69,78.4,100,95,60,609.96,107.1,105.6,60.9,82,110,108,66,88
