Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Brand Name,Duragesic,,,,,,,,,,
,Generic Name,fentanyl transdermal system,,,,,,,,,,
,Indication,Persistent Chronic Pain - moderate to servere.,,,,,,,,,,
,Label,http://www.duragesic.com/duragesic/shared/pi/duragesic.pdf,,,,,,,,,,
,Mechanism,Fentanyl is an opiod agonist analgesic 81x more potent than morphine. 336.5 molecular weight.,,,,,,,,,,
,,"Interacts predominantly with opiod mu-receptor.  These sites are located throughout brain, spinal cord & other tissues. Principal pharmacologic effect is on the CNS.",,,,,,,,,,
,,"Elevates mood/euphoria/dysphoria.  Depresses respiratory centers, cough reflex & constricts pupils.",,,,,,,,,,
,IP,"Approved 1990, Generics launched in January 2005 in US, Europe?",,,,,,,,,,
,,Ionsys was hoped to be the follow-on/life-cycle product but ran into serious issues.,,,,,,,,,,
,Safety,LD50 in humans is 0.5-1mg/kg for opiate-naïve individuals. Respiratory depression.,,,,,,,,,,
,Administration,Transdermal Patch. Patch provides controlled release vs oral/topical. Patch is worn for 72 hours.,,,,,,,,,,
,Competition,"Generic (started in Q105 in US), Mylan Laboratories / Sandoz. Cephalon's fentanyl portfolio (Fentora, Actiq).",,,,,,,,,,
,,,,,,,,,,,,
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0
,US,,,,,,,,,,,
,ROW,,,,,,,,,,,
,WW,,,,,,,,,,,
,,,,,,,,,,,,
,Q106: generic competition in the US in January 2005. Generic versions also launched in Europe.,,,,,,,,,,,
,"DURAGESIC®/Fentanyl Transdermal (fentanyl transdermal system) sales declined to $1.2 billion in 2007, a reduction of 10.1% from 2006. This decline was the result of the impact of generic competition in the U.S. and major international markets. Generic competition in the U.S. began in January 2005.",,,,,,,,,,,
