Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,,Q100,Q200,Q300,Q400,Q101,Q201,Q301,Q401,Q102,Q202,Q302,Q402,Q103,Q203,Q303,Q403,Q104,Q204,Q304,Q404,Q105,Q205,Q305,,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
,Coronary Stents,17,27,50,64,68,79.2,78.2,90.2,104,101,101,99,52,209,430,470,432.4,211,269,307,317,320,347,,158.0,315.59999999999997,405.0,1161.0,1219.4,,,
,     International,20,20,26,30,26,37.2,32.2,55,38,61,73.5,98,110,115,90,110,122.4,136,179,254,300,339,309,,96.0,150.4,270.5,425.0,691.4,,,
,Cordis Ex Coronary Stents,94,89,99,101,,115.4,118.3,,,130,124.8,139.5,132,151,144,169,159,157,158.5,172.6,,,,,383.0,233.7,394.3,596.0,647.1,,,
,     International,118,111,95,95,,110.2,98.2,101,,117,115,112.5,126,124,127,147,163.2,160,149.5,181.5,,,,,419.0,309.4,344.5,524.0,654.2,,,
,     Worldwide,212,200,194,196,,225.60000000000002,216.5,,,247,239.8,252,258,275,271,316,322.2,317,308,354.1,,,,,802.0,543.0999999999999,738.8,1120.0,1301.3000000000002,,,
,Total Cordis,111,116,149,165,167.4,194.2,195.5,210.5,214,,,,,,,,,,,,476.4,485,519.49,,541.0,767.6,214.0,,,,,
,     International,138,131,121,125,143,147.3,130.2,155.5,155,,,,,,,,,,,,492.5,529,474.68,,515.0,576.0,155.0,,,,,
,     Worldwide,249,247,270,290,310.4,341.5,325.7,366,369,,,,,,,,,,,,968.9,1014,994.1700000000001,,1056.0,1343.6,369.0,,,,,
,DePuy,286,279,270,288,320,327.4,323.5,346.8,404.5,412,400.2,426.9,468,468,461,493.2,510,506,490,583,606,597,565,,1123.0,1317.7,1642.5,1890.2,2089.0,,,
