Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand Name,"Prezista, fka TMC114",,,,,,,,
,Generic Name,darunavir,,,,,,,,
,Mechanism,"Protease inhibitor. Contains a 3R, 3a(S), 6aR-bis-tetrahydrofuranylurethane (bis-THF) group. Selected for its high 'genetic barrier' to resistance. Has a close fit within the substrate envelope.",,,,,,,,
,,"Chemically similar to amprenavir (APV), but with substantially higher potency.",,,,,,,,
,Administration,Oral,,,,,,,,
,Indication,HIV,,,,,,,,
,IP,2012 to 2015.,,,,,,,,
,Efficacy,-1.7 to -2.0 logs vs -0.63 in POWER1,,,,,,,,
,Side Effects,"Mostly benign. Diarrhea, nausea, headache.",,,,,,,,
,Timeline,June 23rd 2006 PDUFA. Filed in late 2005.,,,,,,,,
,Notes,Kaletra has 1.1B run-rate. better resistance profile? Aimed for 2L. Might be able to file with phase 2?,,,,,,,,
,Clinical Studies,,,,,,,,,
,,TMC114-C226: EAP,,,,,,,,
,,TMC114-C211: TMC114 vs Kaletra in tx-naïve pts. N=660. Study start 9/2005. Still enrolling as of 5/2006.,,,,,,,,
,,  ARTEMIS? 84% <50copies vs 78% undectectable.,,,,,,,,
,,TMC114-C207: p2a POC study presented at Feb 2003 Boston CROI,,,,,,,,
,,TMC114-C202:POWER2: ongoing for 144 weeks. Data presented at ICAAC 2005. ,,,,,,,,
,,,n=278 who have failed 3 therapies. 62% of patients achieved 1log or more vs 14% for control group. 39% undetectable vs 7% for control arm.,,,,,,,
,,TMC114-C213:POWER1: ongoing for 144 weeks. 24wk data presented at IAS 2005.,,,,,,,,
,,,Presentations,,1.0,2.0,3.0,,,
,,TMC114-C214: pivotal p3 study in moderately tx-experienced patients,,,,,,,,
,,,,,3.0,4.0,5.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,2006,2007,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
,TMC114,30,248.2,413.25,565.5,672.75,746.79,834.0285,905.8856850000001,960.95633355
,Bear Estimate,25,181,413.0,611.0,781.0,,,,
,,,,,,,,,,
,,2000,2001,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
,Kaletra,30,292,551.0,754.0,897.0,995.72,1112.038,1207.84758,1281.2751114
