Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186
,,Q2 2008,Q3 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q423,Q124,Q224,Q324,Q424,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,9046,8393,7169,8267,8044,7510,7525,8674,8426,10494,10517,12737,12248,11040,11137,13085,12340,11455,11035,12749,12030,11040,10576,12574,11976,10872,10711,12156,11427,10000,10282,11539,10633,9409,9118,9702,9078,8314,7626,9421,8775,8478,8694,9997,9507,9068,8601,7150,8652,8611,9020,10129,10042,9464,10491,11325,11063,10125,10980,11972,11953,10849,11300,12363,11854,11544,,,,44294.0,41863.0,36212.0,34300.0,37266.0,33014.0,38655.0,43004.0,45754.0,47061.0,48002.22,48962.2644,49941.509688,50940.33988176,51959.146679395206,52998.329612983114,54058.296205242776,55139.46212934763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,3162,3020,2590,2913,2934,2651,2541,2955,2918,4279,3948,4989,4875,4403,4348,5224,4853,4628,4324,4989,4793,4315,4083,4819,4630,4357,4103,4748,4577,4054,4069,4471,4131,3794,3513,3659,3394,3155,2738,3543,3346,3440,3365,3921,3767,3566,3371,3013,3471,3578,3505,3787,3977,4088,4091,4830,4566,4513,4317,4912,4657,4634,4235,4812,4664,4613,,,,17482.0,16465.0,13721.0,13067.0,14619.0,13433.0,15357.0,18000.0,18520.0,18324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,5884,5373,4579,5354,5110,4859,4984,5719,5508,6215,6569,7748,7373,6637,6789,7861,7487,6827,6711,7760,7237,6725,6493,7755,7346,6515,6608,7408,6850,5946,6213,7068,6502,5615,5605,6043,5684,5159,4888,5878,5429,5038,5329,6076,5740,5502,5230,4137,5181,5033,5515,6342,6065,5376,6400,6495,6497,5612,6663,7060,7296,6215,7065,7551,7190,6931,,,,26812.0,25398.0,22491.0,21233.0,22647.0,19581.0,23298.0,25004.0,27234.0,28737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A Expense,3205,3139,2624,2844,2912,2978,2705,2878,3064,4547,4076,4417,4523,4406,4181,4497,4630,4430,4182,4385,4424,4319,3989,4384,4507,4338,4079,4204,4207,3937,3761,3912,4009,5059,3352,3180,3439,4765,3077,3112,2815,3077,2894,3088,3241,3338,2850,2156,2883,2695,2793,3326,3167,3704,2995,4154,3409,3537,3296,4659,4026,3942,4924,4919,4680,4222,,,,16427.0,16741.0,14736.0,12081.0,12561.0,10584.0,12990.0,14095.0,15923.0,18745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,2679,2234,1955,2510,2198,1881,2279,2841,2444,1668,2493,3331,2850,2231,2608,3364,2857,2397,2529,3375,2813,2406,2504,3371,2839,2177,2529,3204,2643,2009,2452,3156,2493,556,2253,2863,2245,394,1811,2766,2614,1961,2435,2988,2499,2164,2380,1981,2298,2338,2722,3016,2898,1672,3405,2341,3088,2075,3367,2401,3270,2273,2141,2632,2510,2709,,,,10385.0,8657.0,7755.0,9152.0,10086.0,8997.0,10308.0,10909.0,11311.0,9992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Income,-762,283,-48,290,293,180,-4,360,356,5082,232,620,173,260,216,329,291,194,-64,282,908,123,-171,214,-51,-375,-315,1826,-654,20,-247,1440,-843,-871,-456,587,-571,-425,22,176,-241,-884,-210,61,593,256,630,216,-117,23,41,602,186,1288,53,-57,356,425,686,479,267,209,1731,396,870,97,,,,877.0,-521.0,-865.0,-927.0,700.0,752.0,2117.0,777.0,1641.0,3094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,1917,2517,1907,2800,2491,2061,2275,3201,2800,6750,2725,3951,3023,2491,2824,3693,3148,2591,2465,3657,3721,2529,2333,3585,2788,1802,2214,5030,1989,2029,2205,4596,1650,-315,1797,3450,1674,-31,1833,2942,2373,1077,2225,3049,3092,2420,3010,2197,2181,2361,2763,3618,3084,2960,3458,2284,3444,2500,4053,2880,3537,2482,3872,3028,3380,2806,,,,11262.0,8136.0,6890.0,8225.0,10786.0,9749.0,12425.0,11686.0,12952.0,13086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Income Taxes,474,555,456,679,523,382,553,741,633,443,600,992,681,539,658,823,755,487,575,831,925,520,579,779,538,305,415,1250,272,302,401,839,378,-32,323,1252,230,3802,506,611,555,77,522,421,503,355,215,438,441,887,508,994,609,510,665,384,622,444,940,359,454,496,687,627,530,593,,,,2239.0,1586.0,5607.0,1749.0,1801.0,1981.0,2621.0,2115.0,2249.0,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,1443,1962,1451,2121,1968,1679,1722,2460,2167,6307,2125,2959,2342,1952,2166,2870,2393,2104,1890,2826,2796,2009,1754,2806,2250,1497,1799,3780,1717,1727,1804,3757,1272,-283,1474,2198,1444,-3833,1327,2331,1818,1000,1703,2628,2589,2065,2795,1759,1740,1474,2255,2624,2475,2450,2793,1900,2822,2056,3113,2521,3083,1986,3185,2401,2850,2213,,,,9023.0,6550.0,1283.0,6476.0,8985.0,7768.0,9804.0,9571.0,10703.0,10649.0,10861.98,11079.2196,11300.803992000001,11526.820071840002,11757.356473276803,11992.50360274234,12232.353674797187,12477.00074829313,12726.540763258994,12981.071578524174,13240.693010094657,13505.506870296551,13775.617007702482,14051.129347856531,14332.151934813663,14618.794973509936,14911.170872980134,15209.394290439737,15513.582176248532,15823.853819773503,16140.330896168975,16463.137514092356,16792.400264374202,17128.248269661686,17470.81323505492,17820.22949975602,18176.63408975114,18540.166771546163,18910.970106977085,19289.189509116626,19674.97329929896,20068.47276528494,20469.84222059064,20879.239065002454,21296.823846302505,21722.760323228555,22157.215529693127,22600.35984028699,23052.367037092732,23513.414377834586,23983.68266539128,24463.356318699105,24952.623445073088,25451.67591397455,25960.709432254043,26479.923620899124,27009.522093317108,27549.71253518345,28100.70678588712,28662.72092160486,29235.97534003696,29820.694846837698,30417.108743774454,31025.45091864994,31645.95993702294,32278.8791357634,32924.45671847867,33582.94585284824,34254.60476990521,34939.69686530331,35638.490802609376,36351.26061866157,37078.2858310348,37819.8515476555,38576.24857860861,39347.773550180784,40134.7290211844,40937.42360160809,41756.17207364025,42591.29551511305,43443.12142541532,44311.98385392362,45198.2235310021,46102.18800162214,47024.231761654584,47964.71639688768,48924.010724825435,49902.49093932194,50900.540758108385,51918.55157327055,52956.92260473596,54016.06105683068,55096.38227796729,56198.30992352664,57322.27612199717,58468.721644437115,59638.096077325856,60830.85799887237,62047.47515884982,63288.42466202682,64554.193155267356,65845.2770183727,67162.18255874015,68505.42620991496,69875.53473411326,71273.04542879552,72698.50633737144,74152.47646411887,75635.52599340124,77148.23651326926,78691.20124353466,80265.02526840536,81870.32577377347,83507.73228924893,85177.88693503391,86881.44467373459
