Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034,2035.0,2036.0,2037.0,2038.0
,KarXT,,500.0,1400.0,2000.0,2500.0,2700.0,2900.0,3100.0,3300.0,3500.0,,,,,,
,Revenue,,500.0,1400.0,2000.0,2500.0,2700.0,2900.0,3100.0,3300.0,3500.0,,,,,,
,COGS,,50.0,140.0,200.0,250.0,270.0,290.0,310.0,330.0,350.0,,,,,,
,Gross Profit,,450.0,1260.0,1800.0,2250.0,2430.0,2610.0,2790.0,2970.0,3150.0,,,,,,
,SG&A,,400.0,600.0,400.0,300.0,250.0,200.0,200.0,200.0,200.0,,,,,,
,Operating Margin,,50.0,660.0,1400.0,1950.0,2180.0,2410.0,2590.0,2770.0,2950.0,,,,,,
,Interest Income,,,,,,,,,,,,,,,,
,Pretax Income,,50.0,660.0,1400.0,1950.0,2180.0,2410.0,2590.0,2770.0,2950.0,,,,,,
,Taxes,,0.0,66.0,280.0,390.0,436.0,482.0,518.0,554.0,590.0,,,,,,
,Net Income,,50.0,594.0,1120.0,1560.0,1744.0,1928.0,2072.0,2216.0,2360.0,,,,,,
,EPS,,,,,,,,,,,,,,,,
,Shares,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Discount,0.09,,,
,,,,,,,,,,,,,NPV,9255.146237219584,,,
,,,,,,,,,,,,,Share,268.1482656331107,,,
