Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,2022.0,2023.0,2024.0,2025.0
,Revenue,472.748,698.099,937.464,1160.0
,COGS,128.025,177.888,221.305,266.79999999999995
,Gross Margin,344.72299999999996,520.211,716.1590000000001,893.2
,S&M,213.848,394.369,404.209,424.41945000000004
,R&D,104.077,262.177,238.459,250.38195000000002
,G&A,81.834,194.287,157.569,165.44745
,Operating Expenses,399.759,850.8330000000001,800.2370000000001,840.2488500000001
,Operating Income,-55.03600000000006,-330.62200000000007,-84.07799999999997,52.951149999999984
,Interest Income,5.926,23.581,40.398,40.398
,Pretax Income,-49.110000000000056,-307.04100000000005,-43.67999999999997,93.34914999999998
,Taxes,0.083,1.192,2.462,9.334914999999999
,Net Income,-49.193000000000055,-308.23300000000006,-46.141999999999975,84.01423499999999
,EPS,-0.21401547880991845,-1.269026818113235,-0.17324678938690957,0.3154435541707627
,Shares,229.857206,242.889272,266.336826,266.336826
,,,,,
,Revenue y/y,,0.47668313773934545,0.3428811672842964,0.23738084875792564
,COGS,0.7291897586028919,0.7451822735743784,0.7639322683324373,0.77
,,,,,
,CFFO,-23.552,119.371,165.955,248.9325
