Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,Q122,Q222,Q322,Q422,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Abecma,,24,71,69,67,89,107,125,147,132,93,100,82,95,,,,,,,,,,,,,,,,,,,,
,Carvykti,,,,,,24,55,54,72,117,152,159,157,186,286,238.5,,,,,,,,,,,,867.5,1561.5,2810.7000000000003,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,License Revenue,,,,,50,0,0,0,0,15.115,20.057,0,12.181,90.846,17.096,,,,,,,,,,,,,120.123,,,,,,
,Collaboration Revenue,,,,,0,11.937,27.299,27.441,36.28,58.152,75.937,79.435,78.481,93.254,142.828,119.25,,,,,,,,,,,,433.813,780.75,1405.3500000000001,,,,
,Other Revenue,,,,,0.04,0.034,0.062,0.192,0.056,0.063,0.019,0.029,3.329,2.423,0.281,,,,,,,,,,,,,6.033,,,,,,
,Revenue,,,,,50.04,11.971,27.361,27.633,36.336,73.33,96.013,79.464,93.99099999999999,186.52300000000002,160.205,119.25,0,0,0,0,,,,,,,,559.969,780.75,1405.3500000000001,,,,
,COGS,,,,,0,16.939,25.46,22.964,35.613,32.672,43.479,32.45,54.739,50.45099999999999,55.469,55.469,,,,,,,,,,,,216.128,234.225,421.605,,,,
,Gross Profit,,,,,50.04,-4.968,1.9009999999999998,4.6690000000000005,0.722999999999999,40.658,52.534000000000006,47.013999999999996,39.25199999999999,136.07200000000003,104.73600000000002,63.781,,,,,,,,,,,,343.84100000000007,546.525,983.7450000000001,,,,
