Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Brand,Generic,Indication,MOA,Economics,Revenue,Disposition,,Approval
,Actos,,Type 2 Diabetes,,Takeda,,,,1999-07-15 00:00:00
,Adcirca,,,,,,,,2009-05-22 00:00:00
,Alimta,pemetrexed,Cancer,,1,2004-02-04 00:00:00,2016,,2004-08-19 00:00:00
,Amyvid,,,,,,,,
,Apralan,apramycin,Animal,,,,,,
,Axid,nizatidine,GERD,H2 antagonist,,,,,
,Axiron,,,,,,,,
,Baqsimi,glucagon,,,,,,,
,"Basaglar, fka LY2963016",insulin glargine,,,BI,,,,
,Ceclor,cefaclor,,,,,,,
,Cialis (tadalafil),ED,PDE5,1,,2016,,,2003-11-21 00:00:00
,Coban,monensin,Animal,,,201 in 2002,,,
,Competact,,,,,,,,
,Compudose,estradiol,Animal,,,,,,
,Cymbalta,duloxetine,"Depression, Back Pain",SNRI,1,2004-08-03 00:00:00,Generic in US. 2013,,
,Cynt,,hypertension,,,,,,
,Cyramza,,,,,,,,
,Darvocet-NR,propoxyphene napsylate with acetaminophen,Pain,,,,,,
,Darvon,,Pain,,,,,,
,Dobutrex,dobutamine,Cardiac Decompensation,,,,,,
,Dymelor,,,,,,,,
,Dynabac,dirithromycin,,macrolide antibiotic,,,,,
,Effient,prasugrel,ACS,Platelet inhibitor,4568 JP,,,,
,Eldisine,,AML,,,,,,
,Elunate,,,,,,,,
,Emgality,,,,,,,,
,Evista,,Osteoporosis,SERM,,,,,
,Forteo (teriparatide),Osteoporosis,,100%?,2002-11-26 00:00:00,2 generics in US,,,
,Gemzar,gemcitibine,,,,,,,
,Glucagon,,,,,,,,
,Glyxambi,,,,,,,,
,Halpryza,,,,,,,,
,Humalog,insulin lispro,Diabetes,insulin analog,,,,,
,HumaPen,,,,,,,,
,Humatrope,somatropin,Growth Hormone deficiency,recombinant growth hormone,,,,,
,Humulin,human insulin,Diabetes,recombinant human insulin,,,,,
,Iletin,insulin,Diabetes,animal insulin,,,,,
,Jardiance,,Type 2 Diabetes,,,,,,
,Jentadueto,,,,,,,,
,Keflex,cephalexin,,antibiotic,,,,,
,Keftab,cephalexin,,antibiotic,,,,,
,Kefurox,cefuroxime,,cephalosporin antibiotic,,,,,
,Kefzol,cefazolin,,cephalosporin antibiotic,,,,,
,Lartruvo,,,,,,,,
,Livalo,pitavastatin,Hypercholesterolemia,statin,Kowa,,,,
