Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Number,Name,Indication,n,Phase,Date,Notes
,6921759,lebrikizumab,Atopic Dermatitis,206,III,2025-04-10 00:00:00,
,6916091,eloralintide (LY3841136),Obesity,36,I,2025-04-08 00:00:00,amylin agonist
,6916065,eloralintide (LY3841136),Obesity,188,I,2025-04-08 00:00:00,amylin agonist
,6916143,LY4100511 (DC-853),Healthy,48,I,2025-04-08 00:00:00,
,6916078,lepodisiran (LY3819469),Healthy,33,I,2025-04-08 00:00:00,
,6914895,tirzepatide (LY3298176),T1D,905,III,2025-04-06 00:00:00,
,6911944,donanemab,Down,60,IV,2025-04-04 00:00:00,
,6908707,LAE102,Healthy,32,I,2025-04-03 00:00:00,
,6901518,galcanezumab,Post-Traumatic Headache,25,IV,2025-03-30 00:00:00,
,6901336,LY4064809 (STX-478),Healthy,8,I,2025-03-28 00:00:00,
,6901349,bimagrumab (LY3985863),Obesity,180,II,2025-03-28 00:00:00,Activin mab
,6897475,LY3457263,Obesity,240,II,2025-03-27 00:00:00,NPY agonist
,6890611,bimagrumab (LY3985863),Healthy,100,I,2025-03-24 00:00:00,Activin mab
,6890598,olomorasib (LY3537982),G12C NSCLC,700,III,2025-03-24 00:00:00,
,6876662,pirtobrutinib,"CLL/SLL, NHL",279,IV,2025-03-14 00:00:00,
,6876649,pirtobrutinib (LY3527727),"CLL/SLL, NHL",279,IV,2025-03-14 00:00:00,
,6869018,LY3549492,T2D,90,I,2025-03-11 00:00:00,oral GLP-1?
,6868381,baricitinib,Sarcoidosis,10,II,2025-03-10 00:00:00,
,6864026,tirzepatide (LY3298176),Psoriatic Arthritis,200,IV,2025-03-07 00:00:00,
,6864403,mirikizumab,Pouchitis,25,IV,2025-03-07 00:00:00,
,6859294,LY3541860,Rheumatoid Arthritis,40,II,2025-03-05 00:00:00,
,6859268,retatrutide (LY3437943),Obesity,586,III,2025-03-05 00:00:00,
,6857942,tirzepatide (LY3298176),Psoriatic Arthritis,200,IV,2025-03-05 00:00:00,
,6855212,cetuximab,HNSCC,21,II,2025-03-03 00:00:00,
,6847399,tirzepatide (LY3298176),Binge Eating,105,II,2025-02-26 00:00:00,
,6839872,pirtobrutinib,CLL/SLL,60,II,2025-02-21 00:00:00,
,6835972,abemaciclib,ccRCC,43,I/II,2025-02-19 00:00:00,
,6824051,orforglipron,Obesity,120,I,2025-02-13 00:00:00,
,6817356,mazdutide,Alcohol Use Disorder,300,II,2025-02-10 00:00:00,
,6812715,pirtobrutinib,CLL,40,II,2025-02-06 00:00:00,
,6810544,TNG456,Solid Tumors,191,I/II,2025-02-05 00:00:00,
,6808802,retatrutide (LY3437943),Healthy,30,I,2025-02-05 00:00:00,
,6809400,LY4006896,Parkinson's,127,I,2025-02-05 00:00:00,
,6808815,"S011806, DC-806, LY4100504",Psoriasis,104,I,2025-02-05 00:00:00,
,6797310,baricitinib,Alopecia,30,II,2025-01-28 00:00:00,
,6739122,dulaglutide (LY2189265),T2D,55,III,2024-12-18 00:00:00,
,6721013,pirtobrutinib,ITP,58,I/II,2024-12-06 00:00:00,
,6719128,olomorasib (LY3537982),Healthy,48,I,2024-12-05 00:00:00,
,6709820,LY4060874,Healthy,132,I,2024-11-29 00:00:00,
,6704763,orforglipron,Healthy,27,I,2024-11-26 00:00:00,
,6696456,AAVAnc80-hOTOF,Hearing Loss,30,LTFU,2024-11-20 00:00:00,
,6696014,mirikizumab,UC,100,LTFU,2024-11-19 00:00:00,
,6692348,orforglipron,Healthy,80,I,2024-11-18 00:00:00,
,6690996,LY4005130,Healthy,140,I,2024-11-15 00:00:00,
,6683508,LY3549492,Obesity,275,II,2024-11-12 00:00:00,
,6678269,abemaciclib,mBC,28,I,2024-11-07 00:00:00,
,6672939,orforglipron (LY3502970),Obesity,125,III,2024-11-04 00:00:00,adolescents
,6662383,retatrutide (LY3437943),Obesity,800,III,2024-10-28 00:00:00,vs. tirzepatide
,6657768,LY4006895,Alzheimer,68,I,2024-10-24 00:00:00,
,6653153,remternetug (LY3372993),Alzheimer,1200,III,2024-10-22 00:00:00,
,6649045,orforglipron (LY3502970),OSA,600,III,2024-10-18 00:00:00,
,6647498,remternetug (LY3372993),Alzheimer,280,II/III,2024-10-17 00:00:00,
,6644378,14C-LY3866288,Healthy,15,I,2024-10-16 00:00:00,
,6643728,bimagrumab (LY3985863),Obesity,240,II,2024-10-16 00:00:00,
,6641037,LY3866288,Healthy,15,I,2024-10-15 00:00:00,
,6635057,tirzepatide (LY3298176),T2D,180,IV,2024-10-10 00:00:00,Ramadan
,6630325,abemaciclib,Solid Tumors,30,II,2024-10-08 00:00:00,
,6627088,LY4100511 (DC-853),Healthy,24,I,2024-10-04 00:00:00,
,6607185,LY4066434,KRAS Solid Tumors,750,I,2024-09-23 00:00:00,
,6606106,LY3537031,Obesity,230,I,2024-09-20 00:00:00,
,6598631,volenrelaxin,CKD,8,II,2024-09-19 00:00:00,terminated
,6588296,ixekizumab,Psoriatic Arthritis,250,III,2024-09-19 00:00:00,
,6598943,eltrekibart,UC,140,II,2024-09-19 00:00:00,
,6602219,LY4100511 (DC-853),Psoriasis,220,II,2024-09-19 00:00:00,
,6594679,abemaciclib,Ovarian,73,I/II,2024-09-19 00:00:00,
,6594159,LY4065967,Healthy,59,I,2024-09-19 00:00:00,
,6586515,LY3962673,KRAS G12D,540,I,2024-09-19 00:00:00,
,6588478,pirtobrutinib,CLL/SLL,249,II,2024-09-19 00:00:00,
,6603571,eloralintide (LY3841136),Obesity,350,II,2024-09-19 00:00:00,
,6588283,ixekizumab,Psoriasis,250,III,2024-09-19 00:00:00,
,6584916,orforglipron (LY3502970),Obesity,300,III,2024-09-05 00:00:00,
,6568042,LY3848575,Polyneuropathy,450,II,2024-08-23 00:00:00,
,6566170,LY3002813 (donanemab),Alzheimer,3060,Real-World,2024-08-22 00:00:00,
,6565195,LY3962681,Parkinson's,108,I,2024-08-21 00:00:00,
,6561685,LY4050784,Solid Tumors,160,I,2024-08-20 00:00:00,
,6557356,LY3532226,Obesity,105,I,2024-08-16 00:00:00,
,6553872,pirtobrutinib,R/R MCL,60,II,2024-08-14 00:00:00,
,6538116,mevidalen (LY3154207),Alzheimer,300,II,2024-08-05 00:00:00,
,6516913,subcutaneous pump,Healthy,32,,2024-07-24 00:00:00,
,6517888,AAVAnc80-antiVEGF,Vestibular Schwannoma,27,I/II,2024-07-24 00:00:00,
,6515418,azelaprag (BGE-105),Obesity,204,II,2024-07-23 00:00:00,terminated
,6503679,LY4100511 (DC-853),Healthy,49,I,2024-07-16 00:00:00,
,6475729,mirikizumab,Healthy,484,I,2024-06-26 00:00:00,
,6465069,LY4052031,Solid Tumors,420,I,2024-06-18 00:00:00,
,6458036,selpercatinib,Thyroid Cancer,13,II,2024-06-13 00:00:00,
,6444165,lebrikizumab,Atopic Dermatitis,55,III,2024-06-05 00:00:00,
,6440980,orforglipron (LY3502970),Obesity,508,I,2024-06-04 00:00:00,
,6439277,tirzepatide (LY3298176),Obesity,300,III,2024-06-03 00:00:00,
,6413706,abemaciclib,Glioma,45,II,2024-05-14 00:00:00,
,6400472,LY4170156,Solid Tumors,360,I,2024-05-06 00:00:00,
,6395012,LY3985297,Healthy,153,I,2024-05-01 00:00:00,
,6390956,pirtobrutinib,MZL,23,II,2024-04-30 00:00:00,
,6383390,retatrutide (LY3437943),ASCVD,10000,III,2024-04-25 00:00:00,
,6373146,mibavademab (REGN4461),Obesity,360,II,2024-04-18 00:00:00,
,6370715,LY900014,T2D,112,IV,2024-04-17 00:00:00,India
,6370728,orforglipron,Healthy,30,I,2024-04-17 00:00:00,
,6365788,abemaciclib,mTNBC,53,II,2024-04-15 00:00:00,
,6366347,abemaciclib,Endometrial Cancer,76,II,2024-04-15 00:00:00,
,6362265,LY3209590,T2D,22,I,2024-04-12 00:00:00,pediatric
,6354660,retatrutide (LY3437943),T2D,480,III,2024-04-09 00:00:00,
,6347003,plozasiran (ARO-APOC3),Hypertriglyceridemia,405,III,2024-04-04 00:00:00,
,6347133,plozasiran (ARO-APOC3),Hypertriglyceridemia,1328,III,2024-04-04 00:00:00,
,6345794,LY4100511 (DC-853),Healthy,50,I,2024-04-03 00:00:00,
,6345066,LY3841136,Obesity,96,I,2024-04-03 00:00:00,
