Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Brand Name,Zyprexa,,
,Generic Name,olanzapine,,
,Competition,"paliperidone ER, bifeprunox, Seroquel",,
,Indication,"Schizophrenia, Bipolar Disorder. Best used in unstable schizophrenia, high-risk/mixed-bipolar patients, acute schizophrenia and bipolar",,
,IP,Successfully litigated,,
,,"Work to maintain patient access at the state level--in 45 of 50 states without formulary restriction. FL, CA at risk.",,
,,Double-digit growth in ex-US Zyprexa sales as penetration of atypicals increases.,,
,,40-60% of schizo patients only 20-40% of bipolar in EU,,
,,,,
,,,,
,Rx,,TRx,NRx
,,2009-12-18 00:00:00,117723,53829
,,2009-12-11 00:00:00,116406,52891
,,2009-12-04 00:00:00,128647,56775
,,2009-11-27 00:00:00,104242,44896
,,2009-11-20 00:00:00,116685,53770
,,2009-11-13 00:00:00,113476,51112
,,2009-11-06 00:00:00,122441,54445
,,2009-10-30 00:00:00,114922,51865
,,2007-06-01 00:00:00,118958,50496
,,2007-05-25 00:00:00,123390,53736
,,2006-06-01 00:00:00,132085,54804
