Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Revenue,,,,,18.236,17.993,12.731,,73.068,41.408,58.478,
,COGS,,,,,23.126,22.481,,,60.911,57.102,54.357,
,Gross Margin,,,,,-4.890000000000001,-4.488000000000003,,,12.156999999999996,-15.693999999999996,4.121000000000002,
,G&A,,,,,8.777,8.376,,,17.143,12.057,12.319,
,Operating Income,,,,,-13.667,-12.864000000000003,,,-4.986000000000004,-27.750999999999998,-8.197999999999999,
,EPS,,,,,,,,,,,-0.12222683517450361,
,Shares,,,,,,,,,,,67.072014,
,,,,,,,,,,,,,
,CFFO,,,,,-18.666,,,,-6.442,,,
,CX,,,,,-8.565,,,,-1.588,,,
,FCF,,,,,-27.231,,,,-8.030000000000001,,,
