Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand,"LX9211, BMS-986176",
,Generic,,
,Indication,,
,Economics,,
,MOA,"Adaptor associated kinase 1, discovered in 2002",
,,AAK1 phosphorylates AP2,
,Chemistry,,
,,"BMY did work here 2017 - 28315351, 27411717, 34270254, 35261239",
,,LP-935509,
,Clinical Trials,,
,,Phase II RELIEF-DPN 1 n=319 - NCT04455633,
,,Low dose: -1.39 vs -0.72 - ADPS scale,
,,High Dose: -1.27 vs. -0.72,
,,,Mean 6.6
,,,
,,https://pubmed.ncbi.nlm.nih.gov/38896199/,
,,https://pubmed.ncbi.nlm.nih.gov/25231896/,
