Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,,,,,,,,,41822,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Company Owned,,,2124.8,,2224,2487,2556.2,2474.4000000000005,2355,2461,,,,,,9787.4,8748.4,9741.6,,,,,,,,,,,,
,Franchised,,,3671.2,,3588,3933,4047.1,3868.3999999999996,3723,3940,,,,,,13085.4,14105.8,15436.5,,,,,,,,,,,,
,Other,,,76.1,,86,77,88.9,63.70000000000002,91,89,,,,,,350.1,328.4,315.6,,,,,,,,,,,,
,Revenue,,,5872.1,,5898,6497,6692.199999999999,6406.5,6169,6490,,,,,,23222.899999999998,23182.6,25493.699999999997,,,,,,,,,,,,
,Food & Paper,,,,,,,,,,,,,,,,3096.8,2737.3,3039.0,,,,,,,,,,,,
,Payroll & Employee,,,,,,,,,,,,,,,,2677.2,2617.4,2885.8,,,,,,,,,,,,
,Occupancy & Other,,,,,,,,,,,,,,,,2273.3,2026.2,2299.3,,,,,,,,,,,,
,Franchised Costs,,,,,,,,,,,,,,,,2335.0,2349.7,2474.6,,,,,,,,,,,,
,Other Restaurant Expense,,,,,,,,,,,,,,,,260.4,244.8,232.5,,,,,,,,,,,,
,COGS,,,2426,,2584,2766,2828.5,2752.7000000000007,2730,2772,,,,,,10642.699999999999,9975.4,10931.2,,,,,,,,,,,,
,Gross Margin,,,3446.1000000000004,,3314,3731,3863.699999999999,3653.7999999999993,3439,3718,,,,,,12580.199999999999,13207.199999999999,14562.499999999996,,,,,,,,,,,,
,SG&A,,,682.1999999999999,,781,626,655.4000000000001,853.3999999999996,704,798,,,,,,2224.2,3836.2,2915.7999999999997,,,,,,,,,,,,
,Operating Income,,,2763.9000000000005,,2533,3105,3208.299999999999,2800.3999999999996,2735,2920,,,,,,10356.0,9371.0,11646.699999999997,,,,,,,,,,,,
,Interest,,,227.7,,266,287,284.8,286.70000000000005,327,364,,,,,,1228.1,1545.6,1124.5,,,,,,,,,,,,
,Pretax Income,,,2536.2000000000007,,2267,2818,2923.4999999999986,2513.7,2408,2556,,,,,,9127.9,7825.4,10522.199999999997,,,,,,,,,,,,
,Taxes,,,554.6,,465,506,606.4,476,479,533,,,,,,1582.7,1648.0,2053.4,,,,,,,,,,,,
,Net Income,,,1981.6000000000008,,1802,2312,2317.0999999999985,2037.6999999999998,1929,2023,,,,,,7545.2,6177.4,8468.799999999997,,,,,,,,,,,,
,EPS,,,2.6796484110885745,,2.4500339904826647,3.148576875936266,3.167167851284853,2.7826027584323363,2.657390825182532,2.801939058171745,,,,,,10.036179835062518,8.333198435181439,11.564659292639625,,,,,,,,,,,,
,Shares,,,739.5,,735.5,734.3,731.6,732.3,725.9,722,,,,,,751.8,741.3,732.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,0.1396604281262237,,0.04594777890810442,-0.0010774203478528532,,,,,,,-0.0017353560494166587,0.09969114767109799,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,2433.9,,2420,1673,3029,2489.8999999999996,2390,1689,,,,,,9141.5,7386.7,9611.9,,,,,,,,,,,,
,CapEx,,,531.2,,503,526,570.3,758.1000000000001,547,628,,,,,,2040.0,1899.2,2357.4,,,,,,,,,,,,
,FCF,,,1902.7,,1917,1147,2458.7,1731.7999999999995,1843,1061,,,,,,7101.5,5487.5,7254.5,,,,,,,,,,,,
,TTM FCF,,,,,,,,7254.499999999999,7180.499999999999,7094.499999999999,,,,,,,,,,,,,,,,,,,,
