Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Revenue,1698.93,1854.961,1856.028,1730.108,1899.098,1900.597,1880.973,1812.041,1854.558,,,,,,3049.393,3369.045,3807.183,4200.819,4598.638,5541.352,6311.05,7140.027,7492.709,7940.0,8570.0,,,,
,COGS,801.081,880.739,872.265,791.736,871.969,881.091,881.174,809.596,806.596,,,,,,,1231.355,1511.808,1682.234,1874.758,2432.839,3136.483,3345.821,3443.83,,,,,,
,Gross Profit,897.849,974.222,983.763,938.372,1027.129,1019.506,999.799,1002.4449999999999,1047.962,,,,,,,2137.69,2295.375,2518.5850000000005,2723.88,3108.513,3174.567,3794.206,4048.879,,,,,,
,Operating Expenses,412.785,450.417,473.236,504.414,485.138,492.343,519.883,621.221,478.217,,,,,,,938.903,1011.756,1115.646,1090.727,1311.046,1589.846,2001.778,2118.585,,,,,,
,Operating Income,485.064,523.8050000000001,510.52700000000004,433.95799999999997,541.991,527.163,479.91599999999994,381.22399999999993,569.745,,,,,,0.0,1198.787,1283.6190000000001,1402.9390000000005,1633.153,1797.4669999999999,1584.721,1792.428,1930.2939999999999,,,,,,
,Interest Income,12.496,15.159,71.357,16.117,35.754,24.376,-5.82,4.854,8.272,,,,,,,2.836,9.653,13.023,-6.996,3.952,-12.757,115.127,59.163999999999994,,,,,,
,Pretax Income,497.56,538.964,581.884,450.075,577.745,551.539,474.09599999999995,386.0779999999999,578.017,,,,,,0.0,1201.623,1293.2720000000002,1415.9620000000004,1626.157,1801.4189999999999,1571.964,1907.555,1989.4579999999999,,,,,,
,Taxes,100.116,125.093,129.19,83.097,135.696,126.17,103.177,115.367,135.024,,,,,,,380.945,300.268,308.127,216.563,423.944,380.34,437.494,480.41,,,,,,
,Net Income,397.444,413.87100000000004,452.694,366.978,442.049,425.36899999999997,370.9189999999999,270.7109999999999,442.99300000000005,,,,,,0.0,820.6780000000001,993.0040000000001,1107.8350000000005,1409.594,1377.475,1191.624,1470.0610000000001,1509.0479999999998,,,,,,
,EPS,0.37527677611184923,0.39041008666220794,0.42708351022579977,0.3486647335357674,0.4204856546578368,0.41004243390548095,0.37726804391097774,0.27597044473577426,0.4514431121736667,,,,,,,0.7109857036668684,0.8799264161175642,1.0133724716798882,1.396132490526345,1.2858240344709775,1.1173828487625206,1.3894965977649885,1.4893979998386286,,,,,,
,Shares,1059.069,1060.093,1059.966,1052.524,1051.282,1037.378,983.171,980.942,981.282,,,,,,,1154.282,1128.508,1093.216,1009.642,1071.278,1066.442,1057.981,1013.19325,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,0.02460213449231552,0.0134399912070291,0.04735715920624606,-0.023453239379958246,,,,,,,0.10482479627912844,0.13004812936603694,0.10339298110965522,0.09470034295693286,0.204998523475864,0.13890075923709588,0.13135326134319958,0.04939505130722899,0.05969683328152753,0.079345088161209,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,424.475,338.687,1283.426,,412.142,436.291,618.3990000000001,461.70099999999985,,,,,,,,987.731,1161.881,1113.762,1364.163,1155.741,887.699,1717.753,1928.533,,,,,,
,CapEx,40.1,42.324999999999996,110.224,,66.044,59.768,46.98299999999999,91.27900000000001,,,,,,,,83.435,61.941,101.661,48.722,43.868,188.726,221.428,264.074,,,,,,
,FCF,384.375,296.362,1173.202,,346.098,376.523,571.4160000000002,370.42199999999985,,,,,,,,904.296,1099.94,1012.1009999999999,1315.441,1111.873,698.973,1496.3249999999998,1664.4589999999998,,,,,,
,,,,,,,,,,,,,,,,,,0.21634951387598744,-0.07985799225412316,0.29971317091871286,-0.15475266469571802,-0.37135536162853133,1.1407479258855493,0.11236462666867153,,,,,,
