Main,Unnamed: 1,Unnamed: 2
,Brand Name,"Isentress, fka MK-0518"
,Generic Name,
,Mechanism,Integrase Inhibitor 
,Indication,HIV
,Price,$9855 per annual cost.
,Approval,"US: October 2007, Europe: December 2007."
,Clinical Trials,
,,p2 data showed 64-84% of patients on 518 and background therapy achieved HIV RNA <400copies/mL
,,
,,Phase II dose-ranging study
,,MK-0518 + Viread or? Epivir shows 85-95% of patients had viral reduction <50copies/ml vs Sustiva 92% with same agents
,,data presented at Toronto 2006 - showed faster reduction than Sustiva
,,
,,
,,
,,p3 BENCHMRK-1 -2
