Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Indication,Class,Rights,Approved,IP,,Price,80.0,
,Januvia (sitagliptin),Type 2 Diabetes,DPP4,1,2006-10-16 00:00:00,2022,,Shares,2531.0,Q225
,Janumet (Januvia+metformin),Type 2 Diabetes,DPP4,"98%, OSIP",2007-03-30 00:00:00,Oral,,MC,202480.0,
,Keytruda (pembrolizumab),"Melanoma, NSCLC",PD-1,1,2014-09-04 00:00:00,IV,,Cash,9396.0,Q225
,Remicade (infliximab),Rheumatoid Arthritis,TNF,JNJ,1998-08-24 00:00:00,Antibody,,Debt,35402.0,Q225
,Simponi (golimumab),Rheumatoid Arthritis,TNF,JNJ,2009-04-24 00:00:00,Antibody,,EV,228486.0,
,Rotateq,Rotavirus,Vaccine,100%?,2006,,,,,
,Gardasil (HPV Quadrivalent),HPV,Vaccine,MEDI,2006-06-01 00:00:00,Injectable,,,,
,Primaxin (cilastatin/imipenem),Antibiotic,Antibiotic,100%?,1985-11-26 00:00:00,,,CEO: Robert Davis,,
,Lynparza (olaparib),Oncology,PARP,AZN,2014-12-19 00:00:00,2024,,CFO: Caroline Litchfield,,
,Lenvima (lenvatinib),Oncology,TKI,4523 JP,2015-02-13 00:00:00,2025,,CMO: Eliav Barr,,
,Lagevrio (molnupiravir),COVID-19,NRTI?,1,,,,Global Clinical Development: Gregory Lubiniecki,,
,Bridion (sugammadex),Anesthesia Reversal,,1,2015-12-15 00:00:00,2026,,International: Joseph Romanelli,,
,Reblozyl (luspatercept),MDS,,BMY,2020-04-03 00:00:00,,,,,
,Padcev (enfortumab vedotin),Urothelial Cancer,Nectin-4 ADC,"SGEN, 4503",,,,,,
,"Belsomra (suvorexant, fka MK-4305)",Insomnia,Orexin,1,,,,,,
,Welireg (belzutifan),von Hippel-Lindau,HIF2alpha inhibitor,100%?,2021-08-13 00:00:00,2035,,,,
,Adempas (riociguat),,,,,,,,,
,Capvaxive,Pneumococcal Disease,21-valent Vaccine,1,,,,,,
,Winrevair (sotatercept),PAH,Activin IIA,1,2024-03-26 00:00:00,,,,,
,Proquad,MMR+chicken pox,Vaccine,1,,,,,,
,Isentress (raltegravir),HIV,Integrase,1,2007-10-01 00:00:00,,,,,
,,,,,Phase,Admin,,,,
