Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95
,,,,2022-09-01 00:00:00,2022-12-01 00:00:00,2023-03-02 00:00:00,2023-06-01 00:00:00,2023-08-31 00:00:00,2023-11-30 00:00:00,2024-02-29 00:00:00,2024-05-30 00:00:00,2024-08-31 00:00:00,,,,,,,,,,1995-09-06 00:00:00,1996-09-05 00:00:00,1997-09-05 00:00:00,1998-09-05 00:00:00,1999-09-05 00:00:00,2000-09-04 00:00:00,2001-09-04 00:00:00,2002-09-04 00:00:00,2003-09-04 00:00:00,2004-09-03 00:00:00,2005-09-03 00:00:00,2006-09-03 00:00:00,2007-09-03 00:00:00,2008-09-02 00:00:00,2009-09-02 00:00:00,2010-09-02 00:00:00,2011-09-02 00:00:00,2012-09-01 00:00:00,2013-09-01 00:00:00,2014-09-01 00:00:00,2015-09-01 00:00:00,2016-08-31 00:00:00,2017-08-31 00:00:00,2018-08-30 00:00:00,2019-08-29 00:00:00,2020-09-02 00:00:00,2021-09-02 00:00:00,2022-09-01 00:00:00,2023-08-31 00:00:00,2024-08-31 00:00:00,2025-08-31 00:00:00,2026-08-31 00:00:00,2027-08-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FQ422,FQ123,FQ223,FQ323,FQ423,FQ124,FQ224,FQ324,FQ424,FQ125,FQ225,FQ325,FQ425,,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,F2024,F2025,F2026,F2027,F2028,F2029,F2030,F2031,F2032,F2033,F2034,F2035,F2036,F2037,F2038,F2039,F2040,F2041,F2042,F2043,F2044,F2045,F2046,F2047,F2048,F2049,F2050,F2051,F2052,F2053,F2054,F2055,F2056,F2057,F2058,F2059,F2060,F2061,F2062,F2063,F2064,F2065,F2066,F2067,F2068
,CNBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9184,12280,13693,5710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5702,7203,7260,3630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2759,4209,5235,3640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3765,3973,4553,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,40,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,6643,4085,3693,3752,4010,4726,5824,6811,7600,,,,,,,,,,,,,,,,,2589,3091,4404,4880,5272,5688,5841,4803,8482,8788,8234,9073,16358,16192,12399,20322,30391,23406,21435,27705,30758,15540,24961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,4021,3192,4899,4420,4445,4761,4745,4979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10921,10977,9894,11886,12500,12704,14883,17282,16860,16956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
