Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89
,,2023-01-20,2023-01-27,2023-02-03,2023-02-10,2023-02-17,2023-02-24,2023-03-03,2023-03-10,2023-03-17,2023-03-24,2023-03-31,2023-04-07,2023-04-14,2023-04-21,2023-04-28,2023-05-05,2023-05-12,2023-05-19,2023-05-26,2023-06-02,2023-06-09,2023-06-16,2023-06-23,2023-06-30,2023-07-07,2023-07-14,2023-07-21,2023-07-28,2023-08-04,2023-08-11,2023-08-18,2023-08-25,2023-09-01,2023-09-08,2023-09-15,2023-09-22,2023-09-29,2023-10-06,2023-10-13,2023-10-20,2023-10-27,2023-11-03,2023-11-10,2023-11-17,2023-11-24,2023-12-01,2023-12-08,2023-12-15,2023-12-22,2023-12-29,2024-01-05,2024-01-12,2024-01-19,2024-01-26 00:00:00,2024-02-02 00:00:00,2024-02-09 00:00:00,2024-02-16 00:00:00,2024-02-23 00:00:00,2024-03-01 00:00:00,2024-03-08 00:00:00,2024-03-15 00:00:00,2024-03-22 00:00:00,2024-03-29 00:00:00,2024-04-05 00:00:00,2024-04-12 00:00:00,2024-04-19 00:00:00,2024-04-26 00:00:00,2024-05-03 00:00:00,2024-05-10 00:00:00,2024-05-17 00:00:00,2024-05-24 00:00:00,2024-05-31 00:00:00,2024-06-07 00:00:00,2024-06-14 00:00:00,2024-06-21 00:00:00,2024-06-28 00:00:00,2024-07-05 00:00:00,2024-07-12 00:00:00,2024-07-19 00:00:00,2024-07-26 00:00:00,2024-08-02 00:00:00,2024-08-09 00:00:00,2024-08-16 00:00:00,2024-08-23 00:00:00,2024-08-30 00:00:00,2024-09-06 00:00:00,2024-09-13 00:00:00,2024-09-20 00:00:00
,S&P Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5346.56,5344.16,5554.25,5634.61,5648.4,5408.42,5626.02,5705.55
,UST 10Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037904,0.039398,0.038826,0.03799,0.039034,0.03708,0.036513,0.037413
,UST 2Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038798,0.040531,0.040497,0.039153,0.039165,0.036462,0.035824,0.03591
,10Y-2Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000893999999999999,-0.0011329999999999951,-0.0016709999999999989,-0.0011629999999999974,-0.00013099999999999917,0.0006180000000000005,0.0006889999999999952,0.0015030000000000043
,MOODCAAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0502,0.0498,0.0488,0.0477,0.0481,0.0475,0.0467,
,MOODCBAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0574,0.0571,0.0562,0.0552,0.0555,0.055,0.054,
,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0293885,0.0283416,0.0283416,0.0283416,0.0283416,0.0283229,0.0283229,0.0283229,0.0283229,0.0283229,0.0277895,0.0277895,0.0277895,0.0277895,0.0258774,0.0258774,0.0258774,0.0258774,0.0258774,0.0257826,0.0257826,0.0257826,0.0257826,0.0262042,0.0262042,0.0262042,0.0262042,0.0262042,,,,,,,
,Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
