Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Sectors,,,,Diseases,,,Screens,
,Consumer,,2025-04-13,,Alzheimer's,2024-11-11,,Healthcare,2023-03-04
,Crypto,,2025-03-22,,Cardiovascular,2025-02-11,,Largest,2025-07-07
,Healthcare,Biopharma,2025-07-07,,Endocrinology,2025-02-11,,Software,
,,HCIT,2025-02-03,,Gastroenterology,,,Web,2023-08-20
,,Medical Devices,2025-03-02,,Genetic Diseases,,,Biopharma,2024-10-17
,,Services,2025-06-02,,Hepatology,,,,
,Industrials,,2025-04-13,,Hematology,2025-03-01,,,
,Energy,,2025-03-02,,Immunology,2025-04-07,,,
,Financials,,2025-03-02,,Nephrology,,,Learning,
,Tech,Hardware & Semis,2025-04-13,,Neurology,,,Artificial Intelligence,2023-08-18
,,Software,2025-06-16,,Oncology (Solid Tumors),2025-01-31,,Biology,2023-01-29
,,Telecom & Media,2025-04-13,,Psychiatry,2025-04-07,,Books,
,Macro,,2024-10-26,,"Women's Health, Men's Health, Urology",,,Chemistry,2024-12-31
,,,,,,,,Computer Science,2023-08-18
,,,,,Games,,,Economics,
,Comp. Chemistry,2023-02-16 00:00:00,,,Card Games (Non-Poker),,,Literature (Academic Papers),2024-12-31
,Gaming,2023-01-17 00:00:00,,,Chess,2023-04-24,,Math,
,Hedge Funds,2025-03-01 00:00:00,,,Games (Combinatorial),,,Philosophy,2025-05-04
,Patents,2025-05-26 00:00:00,,,Interactive Entertainment,2023-08-19,,Physics,
,Recommendations,2025-03-25 00:00:00,,,Poker,,,Proteins,2024-12-31
