Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,Name,Ticker,Price,MC,Net Cash,EV,S/O,Update,Last,NPV,Upside,Discount,Terminal,ROIC,EV/E 22,EV/E 23,EV/E 24,2025.0,EPS 22,2023.0,2024.0,2025.0,Founded
x,Thermo Fisher,TMO,541.28,212067.52935136,-28372,240439.52935136,391.788962,Q222,2022-09-19 00:00:00,,,,,,,,,,,,,,
x,Danaher,DHR,,,,,,,,,,,,,,,,,,,,,
x,Lonza,LONN SW,,,,,,,,,,,,,,,,,,,,,
x,Agilent,A,,,,,,,,,,,,,,,,,,,,,
x,Illumina,ILMN,,,,,,,,,,,,,,,,,,,,,
x,Mettler-Toledo,MTD,,,,,,,,,,,,,,,,,,,,,
x,Philips,PHIA NA,,,,,,,,,,,,,,,,,,,,,
x,Fujifilm,4901 JP,,,,,,,,,,,,,,,,,,,,,
x,Natera,NTRA,168.51,22246.827704159998,525.826,21721.001704159997,132.020816,Q324,2024-12-06 00:00:00,,,,,,,,,,,,,,
x,Sartorius Stedim,DIM FP,,,,,,,,,,,,,,,,,,,,,
,Tempus,TEM,,,,,,,,,,,,,,,,,,,,,
x,Sartorius,SRT GR,,,,,,,,,,,,,,,,,,,,,
x,Repligen,RGEN,,,,,,,,,,,,,,,,,,,,,
x,Waters,WAT,,,,,,,,,,,,,,,,,,,,,
x,Bio-Techne,TECH,,,,,,,,,,,,,,,,,,,,,
x,Bio-Rad,BIO,,,,,,,,,,,,,,,,,,,,,
x,PerkinElmer,PKI,,,,,,,,,,,,,,,,,,,,,
x,Carl Zeiss,AFX GR,,,,,,,,,,,,,,,,,,,,,
,GeneDx,WGS,80,,,,,,,,,,,,,,,,,,,,
,Cryoport,CYRX,,,,,,,,,,,,,,,,,,,,,
x,Bruker,BRKR,,,,,,,,,,,,,,,,,,,,,
x,Charles River,CRL,117,6040.794942,-1998,8038.794942,51.630726,Q224,2025-04-29 00:00:00,,,,,,,,,,,,,,
,Genscript,1548 HK,,,,,,,,,,,,,,,,,,,,,
,Telesis Bio,TBIO,,,,,,,,,,,,,,,,,,,,,
,Gamma Biosciences,,,,,,,,,,,,,,,,,,,,,,
x,10X Genomics,TXG,,,,,,,,,,,,,,,,,,,,,
,Grail,GRAL,14.06,436.55102088,958.845,-522.29397912,31.049148,Q224,2024-10-17 00:00:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Immunai,Private,2018,215m,Series B,"Koch, 8VC",,,,,,,,,,,,,,,,,
,Zephyr AI,Private,,18.5m,Seed,,,,,,,,,,,,,,,,,,
,Imagene AI,Private,,18.5m,Series A,,,,,,,,,,,,,,,,,,
,MoleculeMind,Private,,15m,Seed,,,,,,,,,,,,,,,,,,
,Protai,Private,,12m,Seed,,,,,,,,,,,,,,,,,,
,Arkana,,,,,,,,,,,,,,,,,,,,,,
,PrognomiQ,,,,,,,,,,,,,,,,,,,,,,
,YourBio,,,,,Flagship,,,,,,,,,,,,,,,,,
