Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,1H23,2H23,1H24,2H24,1H25,2H25,1H26,2H26,,2022.0,2023.0,2024.0,
,Revenue,723.249,773.7139999999999,618.119,617.457,695.67,695.67,,,,1720.273,1496.963,1235.576,1391.34
,COGS,641.977,687.429,555.003,549.0849999999999,615.878,615.878,,,,1503.647,1329.406,1104.088,
,Gross Profit,81.27200000000005,86.28499999999997,63.115999999999985,68.37200000000007,79.79199999999992,79,,,,216.62599999999998,167.55700000000002,131.48800000000006,166.96079999999998
,SG&A,115.877,122.764,93.083,89.95599999999999,87.329,,,,,266.164,238.641,183.039,100.0
,Operating Income,-34.60499999999995,-36.47900000000003,-29.967000000000013,-21.583999999999918,-7.537000000000077,,,,,-49.53800000000001,-71.08399999999997,-51.55099999999993,66.96079999999998
,Interest Income,,,,,0.5920000000000001,,,,,1.164,2.348,2.721,
,Net Income,-34.60499999999995,-36.47900000000003,-29.967000000000013,-21.583999999999918,-6.945000000000077,,,,,-48.37400000000001,-68.73599999999998,-48.82999999999993,66.96079999999998
,S/O,,,,,,,,,,18653.0,18928.0,19285.0,
,CFFO,,,,,,,,,,20.48,-3.839,-0.821,
,,,,,,,,,,,,,,
,Revenue y/y,,,-0.14535796108947263,-0.20195705389846885,0.125462896303139,,,,,,-0.12981079165923082,-0.17461153014469966,
,Gross Margin,0.11237070497159353,0.11152053601201474,0.10210978792109607,0.11073159750395585,0.1146980608621903,,,,,0.12592536184663713,0.11193129021892995,0.10641838300517334,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Cash,,,,,59.906000000000006,,,,,,,,
,AR,,,,,28.97,,,,,,,,
,Inventory,,,,,152.859,,,,,,,,
,Taxes,,,,,2.085,,,,,,,,
,Prepaid,,,,,11.44,,,,,,,,
,OCA,,,,,4.559,,,,,,,,
,Assets,,,,,259.819,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,CFFO,,,63.197,-64.018,-49.952,,,,,-3.839,-3.839,-0.821,
