Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148
,7.1763,Q108,Q208,Q308,Q408,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025,2026,2027,2028,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GLP-1 Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44917.05,51552.025,57864.274999999994,71616.67499999999,66486.5,82303.5,89003.59999999999,103599.975,102350.825,119122.6,128213.94499999999,138274.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341393.57499999995,487961.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mounjaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.825,6296.5,9052.824999999999,14173.55,11609.975,19859.675,20001.024999999998,22680.25,24684.85,33403.575,41861.481,45071.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74150.925,145021.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zepbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.8,3321.725,7986.275,8082.65,12252.475,14854.6,21722.925,23053.2588,23052.899999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31643.125,82683.6838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trulicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12702.225,11648.525,10755.449999999999,10723.324999999999,9354.8,8005.55,8358.925,8031.25,7035.375,7016.099999999999,6759.205199999999,6759.099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33750.524999999994,27569.780199999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ozempic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19640,22101,23912,30065,27810,28875,29804,33853,32721,31799,30744,35545.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120342.0,130809.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rybelsus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4356,3988,4496,5910,5013,5918,5453,6917,5695,5653,5442,6986.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23301.0,23776.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wegovy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4563,7518,9648,9614,9377,11659,17304,19866,17360,19528,20354,20859.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58206.0,78101.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Class growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4802062913748788,0.5965134250303454,0.5381442176541571,0.4465901272294479,0.5394226647514908,0.4473576457866313,0.44054785424409815,0.3346962197626011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42932351612065367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Lilly growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48468185388845253,0.9978517722878624,0.8397664612390527,0.6507035299925947,0.9177248677248675,0.7333333333333334,0.9667626623786449,0.7429340511440108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8293419504126189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Novo growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47764277460695403,0.38221203915850865,0.3811488332982973,0.33005768935488833,0.32170616113744077,0.22664255575647974,0.07570251707539821,0.045437034105151985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15277816585665516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  NovoRapid,,,,,,,,,2616,3043,3032,3209,2955,,,,,,,,,,,,3901,4251,,,,,,,,,,,,,,,4695,4799,4445,4824,4746,4486,4331,4497,4724,4093,4244,3867,4154,3817,3943,4025,4345,3371,3778,3966,3970,3064,3234,3508,3920,3303,3756,5674,4218,4027,3477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16928.0,15939.0,15460.0,13776.0,16653.0,11722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Fiasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,179,195,206,231,272,301,439,390,286,345,364,402,435,416,495,497,516,485,505,518,447,574,634,567,565,394,343,834,515,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385.0,1748.0,2003.0,2173.0,1869.0,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  NovoMix,,,,,,,,,1729,1989,1998,2105,1975,,,,,,,,,,,,2358,2482,,,,,,,,,,,,,,,2501,2408,2332,2239,2545,2303,2318,2419,2618,2359,2276,2381,2533,2294,2398,2267,2375,1786,1899,1613,1805,1470,1355,1214,1701,1273,1365,1521,1381,1273,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9634.0,9492.0,7673.0,5844.0,5860.0,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Ryzodeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,137,164,199,212,257,278,246,337,334,296,324,420,421,446,424,637,715,807,730,971,986,864,909,1267,1163,1153,1346,1432,1363,1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291.0,1711.0,2889.0,3730.0,4929.0,4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Awiqli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,10,59,60,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
