Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,Active Members,,,,,,,,,,35.5,,,,,,,,,,,,,,,,,,,,,
,Platform Access Students,,,,,,,0,1,2.2,3.3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,31.8,41.802,49.18,48.839,40.3,55.084,53.727,50.984,36.5,56,,,90.452,103.968,140.664,162.665,193.399,197.211,,,,,,,,,,,
,COGS,,,,12.314,15.29,14.74,,15.814,17.212,17.497,,,,,30.83,34.834,46.7,49.732,56.952,,,,,,,,,,,,
,Gross Profit,,,,29.488,33.89,34.099,,39.27,36.515,33.487,,,,,59.622,69.134,93.96399999999998,112.93299999999999,136.447,,,,,,,,,,,,
,S&M,,,,17.031,15.56,14.859,,18.796,17.392,15.537,,,,,37.967,43.838,65.441,74.183,68.448,,,,,,,,,,,,
,G&A,,,,32.89,29.7,29.713,,30.649,31.976,33.179,,,,,42.192,65.441,121.968,129.559,125.57,,,,,,,,,,,,
,Operating Expenses,,,,49.921,45.26,44.572,,49.445,49.367999999999995,48.716,,,,,80.15899999999999,109.279,187.409,203.74200000000002,194.01799999999997,,,,,,,,,,,,
,Operating Income,,,,-20.433,-11.369999999999997,-10.473000000000006,,-10.174999999999997,-12.852999999999994,-15.229,,,,,-20.536999999999992,-40.144999999999996,-93.44500000000001,-90.80900000000003,-57.57099999999997,,,,,,,,,,,,
,Other Income,,,,0.464,0.833,0.783,,0.917,0.886,0.879,,,,,0.0,0.0,0.0,0.483,3.377,,,,,,,,,,,,
,Pretax Income,,,,-19.969,-10.536999999999997,-9.690000000000007,,-9.257999999999997,-11.966999999999995,-14.35,,,,,-20.536999999999992,-40.144999999999996,-93.44500000000001,-90.32600000000002,-54.19399999999997,,,,,,,,,,,,
,Taxes,,,,0,0,0,,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
,Net Income,,,,-19.969,-10.536999999999997,-9.690000000000007,,-9.257999999999997,-11.966999999999995,-14.35,,,,,-20.536999999999992,-40.144999999999996,-93.44500000000001,-90.32600000000002,-54.19399999999997,,,,,,,,,,,,
,EPS,,,,-0.22275145849833236,-0.11481215132496511,-0.1025961375571744,,-0.08802137308778366,-0.11085585126585207,-0.13054474000218333,,,,,,,-1.1793250542682618,-1.0518556472930958,-0.5577982029086939,,,,,,,,,,,,
,Shares,,,,89.647,91.776,94.448,,105.179,107.951,109.924,,,,,,,79.236,85.873,97.157,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,0.3177359934931343,0.09245628304188691,0.04391981817809554,-0.09429280397022322,0.016629148210006495,,,,0.14942732056781494,0.35295475530932574,0.15640817835409204,0.18894046045553758,0.019710546590209876,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,-16.318,-6.654,-38.891,-48.002,-7.56,,,,,,,,,,,,
,CX,,,,,,,,,,,,,,,-6.356,-2.874,-5.163,-5.317,-6.887,,,,,,,,,,,,
,FCF,,,,,,,,,,,,,,,-22.674,-9.528,-44.054,-53.319,-14.447,,,,,,,,,,,,
