Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
,,2023.0,2024,2025,2026,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0,2051.0,2052.0,2053.0,2054.0,2055.0,2056.0,2057.0,2058.0,2059.0,2060.0,2061.0,2062.0,2063.0,2064.0,2065.0,2066.0,2067.0,2068.0,2069.0,2070.0,2071.0
,Vyndaqel price,,,,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vyndaqel patients,,,,,10342.222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vynadel revenue,,,,,2327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTLA-2001 price,,,,,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTLA-2001 patients,,,,,500.0,750.0,1000.0,1000.0,1000.0,900.0,810.0,729.0,656.1,590.49,531.441,478.29690000000005,430.4672100000001,387.4204890000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTLA-2001 revenue,,III,Filing,Approval,1250.0,1875.0,2500.0,2500.0,2500.0,2250.0,2025.0,1822.5,1640.25,1476.225,1328.6025,1195.7422500000002,1076.1680250000002,968.5512225000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NTLA-2002 revenue,,,,,,375.0,500.0,500.0,500.0,450.0,405.0,364.5,328.05,295.245,265.7205,239.14845000000005,215.23360500000004,193.71024450000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,1250.0,2250.0,3000.0,3000.0,3000.0,2700.0,2430.0,2187.0,1968.3,1771.4699999999998,1594.3229999999999,1434.8907000000004,1291.4016300000003,1162.2614670000003,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,,62.5,112.5,150.0,150.0,150.0,135.0,121.5,109.35000000000001,98.415,88.5735,79.71615,71.74453500000003,64.57008150000001,58.113073350000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,1187.5,2137.5,2850.0,2850.0,2850.0,2565.0,2308.5,2077.65,1869.885,1682.8964999999998,1514.60685,1363.1461650000003,1226.8315485000003,1104.1483936500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,987.5,1937.5,2650.0,2650.0,2650.0,2365.0,2108.5,1877.65,1669.885,1482.8964999999998,1314.60685,1163.1461650000003,1026.8315485000003,904.1483936500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REGN split,,,,,246.875,484.375,662.5,662.5,662.5,591.25,527.125,469.4125,417.47125,370.72412499999996,328.6517125,290.7865412500001,256.70788712500007,226.0370984125001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,740.625,1453.125,1987.5,1987.5,1987.5,1773.75,1581.375,1408.2375000000002,1252.41375,1112.1723749999999,985.9551374999999,872.3596237500003,770.1236613750002,678.1112952375003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,0.0,0.0,397.5,397.5,397.5,354.75,316.27500000000003,281.64750000000004,250.48275,222.434475,197.1910275,174.47192475000008,154.02473227500005,135.62225904750005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
