Main,Unnamed: 1,Unnamed: 2
,Branded Name,"Diovan, Co-Diovan"
,Generic Name,valsartan
,Indication,"Hypertension, Heart Failure"
,Mechanism,AII/ARB (angiotensin II receptor antagonist). Prevents binding of angiotensin II to the AT1 receptor.
,Administration,Oral
,Competition,"CCBs, ACEs and BBs. FRX/Sankyo's Benicar, BMY/SNY's Avapro"
,Approved/Launched,1996-12-01 00:00:00
,IP,"5,399,578 - 3/21/2012 COM patent. 2016 method of use patent and 2017 solid dosage form patent."
,Lifecycle Strategy,"Exforge (combination with Norvasc), Rasilez (next-generation Renin inhibitor)"
,Product Lines,Co-Diovan
,Geographies,Q209: Announces Japan is 20% of sales.
,Clinical Trials,
