Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Branded Name,Femara,,,
,Generic Name,letrozole,,,
,Indication,adjuvant treatment of early breast cancer,,,
,Usage,"post-tamoxifen, front-line for post-menopausal women with HR+",,,
,Mechanism,Aromatase inhibitor.,,,
,Administration,,,,
,Competition,AZN's Arimidex,,,
,Approved/Launched,approved in 1997,,,
,IP,"June 2011, but MYL attempting generic (FTF)",,,
,Efficacy,,,,
,Safety,Bone depletion,,,
,Cost,,,,
,Share,30.1% share of market in April 2005. Growth is +44%. Aromatase inhibitors are taking share from Tamoxifen.,,,
,Papers,"Letrozole Therapy Alone or in Sequence with Tamoxifen in Women with Breast Cancer. BIG 1-98, NEJM 2009;361:766-76.",,,
,,,,,
,,,,,
,,,,,
,,2003,2004.0,2005.0,2006.0
,,227,386.0,525.0,650.0
