Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Brand Name,Zometa/Aclasta,,
,Generic Name,zoledronic acid,,
,Indication,Bone metastases,,Osteoporosis
,Usage,Bone metastases (occurs in 20% of solid tumors),,
,Mechanism,Biphosphonate (inhibits osteoclast-mediated bone resorption).,,
,Administration,15-minute IV q3w or q4w,,
,Competition,"denosumab, pamidronate generic.",,
,Approved/Launched,2001-08-01 00:00:00,,
,IP,"2007, hopes to extend to 2012",,
,Efficacy,,,
,Safety,"Osteonecrosis of the jaw, renal impairment.",,
,Cost,,,
,Clinical Trials,,,
,,Phase III Myeloma Survival Study vs clodronate.,,
,,16% improvement in OS. P=0.01.,,
,,,,
,,,,
,,Aclasta is seeking approval for Paget's disease and osteoporosis,,
,,Aclasta given QY is in phase 3s,,
,,,,
,,YE2005: Approval in Paget's after receiving approvable letter for FDA.,,
,,2007: File Aclasta NDA for osteoporosis,,
,,,,
,,,,
,,HORIZON - Phase III published in NEJM,,
,,QY dosing lowered fracture rates.,,
,,,,
,,Phase III ABCSG-12 n=1803 Stage I/II ER+ BC,,
,,Reduced risk of cancer recurrence or death by 36%.,,
