Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Brand,OP-1250,,,,,,,
,Generic,palazestrant,,,,,,,
,Competition,"Orserdu (elacestrant, Menarini), $200m revenue?",,,,,,,
,,Faslodex (fulvestrant),,,,,,,
,,"camizestrant (AZN, filing)",,,,,,,
,,"giredestrant (Roche, filing)",,,,,,,
,,"Inluriyo, imlunestrant (LLY)",,,,,,,
,,rintodestrant,,,,,,,
,,amcenestrant - discontinued,,,,,,,
,,vepdegestrant ARVN,,,,,,,
,Chemistry,8VV1 PDB,,,,,,,
,,,,,,,,,
,,"Phase III ""SERENA-6"" camizestrant ",,,,,,,giredestrant
,,"HR=0.44, 16.0mo PFS vs. 9.2mo SOC",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,"Phase III ""OPERA-01""",,,,,,,
,,enrolling,,,,,,,
,,,,,,elacestrant,,,
,,"Phase III ""OPERA-02""",,,,,,,
,,just initiated,,,,,,,
