Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,Business Services,,,,,523.491,473.497,,,535.597,506.666,,,,,1710.801,2191.306,2334.674,2249.941,2045.069,,
,Support Services,,,,,105.284,103.315,,,96.333,94.012,,,,,506.187,473.292,460.888,438.191,410.734,,
,Financing,,,,,67.049,66.702,,,67.663,67.539,,,,,368.09,341.034,294.418,274.508,271.197,,
,Equipment Sales,,,,,82.61,79.451,,,77.403,72.753,,,,,352.104,314.882,350.138,354.96,323.739,,
,Supplies,,,,,38.835,36.505,,,36.721,35.509,,,,,187.287,159.282,159.438,154.186,147.709,,
,Rentals,,,,,17.269,17.011,,,16.792,16.691,,,,,80.656,74.279,74.005,66.256,67.9,,
,Revenue,,,,,834.538,776.481,,,830.509,793.1700000000001,,,,,3205.1249999999995,3554.0750000000003,3673.561,3538.0419999999995,3266.348,,
,Cost of Business Services,,,,,446.317,410.638,,,446.367,429.756,,,,,1389.569,1904.078,2034.477,1934.206,1756.616,,
,Cost of Support,,,,,36.84,35.018,,,33.055,31.664,,,,,162.3,149.988,149.706,148.829,137.676,,
,Financing Interest Expense,,,,,14.536,14.763,,,16.603,15.965,,,,,44.648,47.059,47.059,51.789,63.281,,
,Cost of Equipment Sales,,,,,57.171,56.18,,,52.559,50.314,,,,,244.62,235.153,251.914,253.843,223.757,,
,Cost of Supplies,,,,,11.225,10.884,,,10.195,10.358,,,,,49.882,41.679,43.98,43.778,43.347,,
,Cost of Rentals,,,,,5.428,5.142,,,4.684,4.433,,,,,31.53,25.6,24.427,25.105,19.614,,
,COGS,,,,,571.517,532.625,,,563.4630000000001,542.4899999999999,,,,,1922.5489999999998,2403.557,2551.563,2457.5499999999997,2244.291,,
,Gross Profit,,,,,263.02099999999996,243.856,,,267.04599999999994,250.68000000000018,,,,,1282.5759999999998,1150.5180000000005,1121.998,1080.4919999999997,1022.0569999999998,,
,SG&A,,,,,242.12,222.549,,,216.197,220.008,,,,,1003.989,963.323,924.163,905.57,897.26,,
,R&D,,,,,10.493,10.274,,,9.481,9.108,,,,,51.258,38.384,46.777,43.657,41.405,,
,Operating Expenses,,,,,252.613,232.823,,,225.678,229.116,,,,,1055.247,1001.707,970.94,949.2270000000001,938.665,,
,Operating Income,,,,,10.407999999999959,11.032999999999987,,,41.36799999999994,21.564000000000163,,,,,227.32899999999972,148.8110000000005,151.058,131.26499999999965,83.39199999999983,,
,Interest Expense,,,,,22.342,22.92,,,27.766,28.767,,,,,110.91,105.753,96.886,89.98,100.445,,
,Pretax Income,,,,,-11.93400000000004,-11.887000000000015,,,13.60199999999994,-7.202999999999836,,,,,116.41899999999973,43.05800000000049,54.172,41.28499999999964,-17.053000000000168,,
,Taxes,,,,,0,,,,12.559,0,,,,,0.0,7.122,0.0,0.0,0.0,,
,Net Income,,,,,-11.93400000000004,-11.887000000000015,0,0,1.0429999999999406,-7.202999999999836,,,,,116.41899999999973,35.93600000000049,54.172,41.28499999999964,-17.053000000000168,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,267.883,301.972,301.515,175.983,79.468,,
,CapEx,,,,,,,,,,,,,,,137.253,104.987,184.042,124.84,102.878,,
,FCF,,,,,,,,,,,,,,,130.63,196.98499999999999,117.47299999999998,51.143,-23.409999999999997,,
