Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Brand Name,"Chantix (US), Champix (Ex-US).",,,,,
,Generic Name,varenicline,,,,,
,Mechanism,Alpha4-Beta2 nicotinic partial agonist. Nicotinic acetylcholine receptors are pentameric and the receptors with the highest affinity for nicotine contain 2 Alpha-4 and 3 Beta-2 subunits.,,,,,
,,"The highest concentration of Alpha4-Beta2 receptors is in the mesolimbic (""reward center"") dopaminergic system. Binding results in dopamine release.",,,,,
,,The receptors are ion channels and binding results in sodium (Na+) influx.,,,,,
,Cost,Pharmacoeconomic argument - $157bn in health-related economic costs.,,,,,
,Price,"7/14/2007 price increase. ~$120/1mg (4 weeks). Recommended 12 week treatment program, with option of additional 12 weeks depending on severity of addiction.",,,,,
,,Only $336 PPPY?,,,,,
,Market,Break down # of smokers in US/EU.,,,,,
,,1995,1999.0,2001.0,2002.0,2003.0,2004.0
,,24.6,23.3,22.6,22.3,21.5,20.8
,,Europe - 30% avg in adults over the age of 15.,,,,,
,,"215m in EU, 45m in US, >100m in India, >300m in China. PFE notes 60% motivated to quit in the US.",,,,,
,,2006 20.8% prevalence among adults.,,,,,
,IP,"COM patent 6,410,550 issued 6/25/2002, expires 5/10/2020.",,,,,
,Guidance,>1B in 2010.,,,,,
,Notes,"Once ban in smoke-free workplaces was implemented in NYC 2003, adult smoking decreased from 21.5 - 18.4% (-200,000)",,,,,
,Timeline,"May 11, 2006 US approval. Launch August 2006.",,,,,
,,"September 29, 2006 EU approval. EU launch December 2006.",,,,,
,Competition,Head-to-head superiority vs Zyban.,,,,,
,Safety,Serious psychiatric symptoms can occur. Insomnia and abnormal dreams occur more than twice the rate of placebo.,,,,,
,Papers,Varenicline for tobacco dependence. Hays et al. NEJM 2008;359:2018-24.,,,,,
,Commentary,"PFE Q207 10-Q: Chantix/Champix, the first new prescription treatment to aid smoking cessation in nearly a decade, became available to patients in the U.S. in August 2006, in select E.U. markets in December 2006 and in Canada in April 2007. Chantix/Champix continues to demonstrate strong uptake, with nearly 2.5 million U.S. patients having filled a prescription as of June 15, 2007, representing slightly more than 5% of adult smokers in the U.S. In the U.S., an unbranded advertising campaign introduced earlier in 2007 is working to effectively develop the market, and branded advertising is planned for the third quarter of 2007. We continue to focus on increasing adherence and have introduced tools to physicians that provide data behind the benefit of a full 12-week course of therapy. In addition, we are conducting several pilot programs to reach patients in their first month of therapy through pharmacy programs, as well as through our GetQuit behavior modification program. Champix has secured final approval from the National Institute for Health and Clinical Excellence (NICE) for use in the state-funded National Health Service in the U.K., following a positive appraisal decision in May 2007. Our strategy for this innovative medicine is to build a sustainable, medically supported market over time and to seek to secure reimbursement--initiatives that we believe will drive future growth. Chantix/Champix recorded worldwide revenues of $362 million in the first six months of 2007.
",,,,,
,Clinical Trials,,,,,,
,,3659 chronic smokers (>=10 cigarettes/day) in six clinical trials - Label Summary,,,,,
,,Abstinence from smoking was determined by patient self-report and verified by measurement of exhaled carbon monoxide (CO <=10ppm) at weekly visits.,,,,,
,,"Among Chantix-treated patients, the completion rate was 65%.",,,,,
,,"79-96% of subjects were white, average age 43 years.",,,,,
,,subjects on average had smoked about 21 cigarettes a day for an average of approximately 25 years,,,,,
,,all patients were provided with an educational booklet on smoking cessation and received up to 10 minutes of smoking cessation counseling at each weekly treatment visit,,,,,
,,"patients set a date to stop smoking (target quit date, TQD) with dosing starting 1 week before this date was set",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,2009-11-13 00:00:00,,63426.0,,,,
,2009-11-06 00:00:00,,67278.0,,,,
,2009-10-30 00:00:00,,65729.0,,,,
,2009-10-23 00:00:00,,66093.0,,,,
,2009-10-16 00:00:00,,65550.0,,,,
,2009-10-09 00:00:00,,71143.0,,,,
,2009-10-02 00:00:00,,74816.0,,,,
,2009-09-25 00:00:00,,72361.0,,,,
,2009-09-18 00:00:00,,,,,,
,2008-11-07 00:00:00,64589,83261.0,,,,
