Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Warner-Lambert Company,,,,,
,Warner-Lambert Co,,,,,
,Warner Lambert Co,,,,,
,CIK 104669,,,,,
,,,,,,
,Parke-Davis acquisition,,,Agouron Pharmaceuticals,,
,Goedecke?,,,,,
,,,,,,
,Ponstan,analgesic,,,,
,Ponstel,analgesic,,,,
,Valoron,analgesic,,,,
,Valoron-N,analgesic,,,,
,Veganin,analgesic,,,,
,Valtran,analgesic,,,,
,Vanquin,antiparasitic,,,,
,Celontin,antiepileptic,,,,
,Cerebyx,antiepileptic,,,,
,Dilantin,antiepileptic,,,,
,Neurontin,antiepileptic,,,,"292 in 1997, 514 in 1998"
,Zarontin,antiepileptic,,,,
,Omnicef,antibiotic,,,,
,Hepathrombin,CV,,,,
,Novadral,CV,,,,
,Dilzem,CV,,,,
,Accupril,CV,,,,"378 in 1997, 454 in 1998"
,Accuretic,CV,,,,
,Accuzide,CV,,,,
,Nitrostat,CV,,,,
,Pirmenol,CV,,,,
,Cognex,,,,,
,Beben,,,,,
,Rezulin,,,,,
,Anusol HC,,,,,
,Thrombostat,,,,,
,Pitressin,,,,,
,Lipitor,,December 1996 approval. 10-year co-promote agreement with Pfizer.,,,"865 in 1997, 2185 in 1998"
,Lopid,,,,,
,Estrostep,,,,,
,Loestrin,,,,,
,Pitocin,,,,,
,Cetal Retard,,,,,
,Demetrin,,,,,
,Nardil,,,,,
