Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Brand Name,Zyvox,,,,,,,,,,,,,,,,,,
,Generic Name,linezolid,,,,,,,,,,,,,,,,,,
,Safety,FDA safety alert on 3/16/2007,,,,,,,,,,,,,,,,,,
,Clinical Trials,,,,,,,,,,,,,,,,,,,
,,Clinical Study in Catheter-Related Bloodstream Infections,,,,,,,,,,,,,,,,,,
,,showed higher chance of death vs comparators,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2002,2003.0,2004.0,,,Q102,Q202,Q302,Q402,Q103,Q203,Q303,Q403,Q104,Q204,Q304,Q404,Q105,Q205
,Total,199,253.0,462.0,,,57,48,25,69,72,42,61,78,97,110,120,135,143,153
,  US,158,187.0,338.0,,,52,39,13,54,57,34,39,57,73,81,85,99,104,106
,  ROW,41,66.0,124.0,,,5,9,12,15,15,8,22,21,24,29,35,36,39,47
