Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0
,Revenue,,15.987186,38.286376,45.614535,38.981313,21.458609,26.356,45.936643,58.20806,,,
,COGS,,7.887148,18.022469,22.713355,19.452954,11.932408,14.955,24.285253,27.676042,,,
,Gross Profit,,8.100038,20.263906999999996,22.901179999999997,19.528359000000002,9.526200999999999,11.401000000000002,21.651389999999996,30.532018000000004,,,
,G&A,,7.198081,11.676693,13.029228,13.454195,10.378367,11.533,14.776905,17.184917,,,
,R&D,,0.75788,1.221211,1.39744,1.933112,1.554041,1.12,1.051858,0.917123,,,
,Operating Expenses,,7.955961,12.897904,14.426668,15.387307,11.932408,12.652999999999999,15.828762999999999,18.10204,,,
,Operating Income,,0.14407699999999934,7.366002999999996,8.474511999999997,4.141052000000002,-2.406207000000002,-1.2519999999999971,5.822626999999997,12.429978000000006,,,
,Interest Income,,0.2,0.2,0.5,0.3,0.1,0.1,0.2,0.4,,,
,Pretax Income,,0.34407699999999936,7.566002999999996,8.974511999999997,4.441052000000002,-2.306207000000002,-1.151999999999997,6.022626999999997,12.829978000000006,,,
,Taxes,,0.0,2.673,2.517,1.546069,0.0,0.0,1.738422,1.669,,,
,Net Income,,0.34407699999999936,4.893002999999996,6.457511999999998,2.8949830000000016,-2.306207000000002,-1.151999999999997,4.284204999999997,11.160978000000005,,,
,EPS,,0.006433376817466287,0.09813877411849645,0.13119064015489057,0.060144556784887074,-0.04826916068154546,-0.02396476131628193,0.08843013513517413,0.22718365118005673,,,
,Shares,,53.48311,49.858,49.222353,48.133749,47.778063,48.070581,48.447342,49.127558,,,
