Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Product,5066,15075,10168,,3677,13304,17839,
,Other,4522,20000,177,,71,170,120,
,Revenue,9588,35075,10345,,3748,13474,17959,
,COGS,3085,6148,4893,,2602,9456,8375,
,Gross Profit,6503,28927,5452,,1146,4018,9584,
,R&D,5847,4475,3669,,2887,2961,2998,
,SG&A,3115,4031,3670,,3115,3484,2595,
,Operating Expenses,8962,8506,7339,,6002,6445,5593,
,Operating Income,-2459,20421,-1887,,-4856,-2427,3991,
,Interest Income,-477,-774,168,,123,155,-148,
,Pretax Income,-2936,19647,-1719,,-4733,-2272,3843,
,Taxes,195,308,133,,-138,69,607,
,Net Income,-3131,19339,-1852,,-4595,-2341,3236,
,EPS,-0.05447111186082104,0.2324381130669414,-0.02210480760587758,,-0.06291368916850407,-0.03193363652872995,0.03984384169101007,
,Shares,57480.009,83200.641,83782.679,,73036.569,73308.281,81217.068,
