Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,Europe,,,,,,3574,,,,3815,,,,,,,,,13598.0,,,,,,,,,,,,
,"SSEA, CIS & MEA",,,,,,2668,,,,2771,,,,,,,,,10629.0,,,,,,,,,,,,
,"EA, AU & PMI DF",,,,,,1680,,,,1673,,,,,,,,,6201.0,,,,,,,,,,,,
,Americas,,,,,,969,,,,1129,,,,,,,,,1944.0,,,,,,,,,,,,
,Swedish Match,,,,,,,,,,,,,,,,,,,2496.0,,,,,,,,,,,,
,Wellness,,,,,,76,,,,80,,,,,,,,,306.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zyn (cans),,,,,,65.3,,,,116.3,,,,,,,,,,,,,,,,,,,,,
,IQOS,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cig Volume,,,,,,154026,,,,151094,,,,,,,624875.0,621908.0,612949.0,,,,,,,,,,,,
,HTU Volume,,,,,,32021,,,,33972,,,,,,,94976.0,109169.0,125263.0,,,,,,,,,,,,
,  Indonesia,,,,,,,,,,,,,,,,,,86.8,83.4,,,,,,,,,,,,
,  Indonesia Pop,,,,,,,,,,,,,,,,,,,275.5,,,,,,,,,,,,
,  Indonesia Cigs/Pop,,,,,,,,,,,,,,,,,,,302.72232304900183,,,,,,,,,,,,
,  Turkey,,,,,,,,,,,,,,,,,,56.1,69.0,,,,,,,,,,,,
,  Turkey Pop,,,,,,,,,,,,,,,,,,84.98,84.98,,,,,,,,,,,,
,  Turkey Cigs/Pop,,,,,,,,,,,,,,,,,,660.155330666039,811.9557542951283,,,,,,,,,,,,
,  Russia,,,,,,,,,,,,,,,,,,64.7,64.8,,,,,,,,,,,,
,  Russia Pop,,,,,,,,,,,,,,,,,,,144.2,,,,,,,,,,,,
,  Russia Cigs/Pop,,,,,,,,,,,,,,,,,,,449.37586685159505,,,,,,,,,,,,
,  Japan,,,,,,,,,,,,,,,,,,55.5,60.96,,,,,,,,,,,,
,  Japan Pop,,,,,,,,,,,,,,,,,,,125.1,,,,,,,,,,,,
,  Japan Cigs/Pop,,,,,,,,,,,,,,,,,,,487.2901678657075,,,,,,,,,,,,
,  Italy,,,,,,,,,,,,,,,,,,40.8,39.7,,,,,,,,,,,,
,  Italy Pop,,,,,,,,,,,,,,,,,,,58.94,,,,,,,,,,,,
,  Italy Cigs/Pop,,,,,,,,,,,,,,,,,,,673.5663386494741,,,,,,,,,,,,
,  Germany,,,,,,,,,,,,,,,,,,28.2,26.5,,,,,,,,,,,,
,  Germany Pop,,,,,,,,,,,,,,,,,,,83.8,,,,,,,,,,,,
,  Germany Cigs/Pop,,,,,,,,,,,,,,,,,,,316.2291169451074,,,,,,,,,,,,
,  Egypt,,,,,,,,,,,,,,,,,,21.0,24.3,,,,,,,,,,,,
,  Egypt Population,,,,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,
,  Egypt Cigs/Pop,,,,,,,,,,,,,,,,,,,218.9189189189189,,,,,,,,,,,,
,  Philippines,,,,,,,,,,,,,,,,,,32.2,23.8,,,,,,,,,,,,
